Disease,ICD10code,ICD10codeDescr,Provenance,Exclude
Obsessive-compulsive disorder,F42.8,Other obsessive-compulsive disorders,Cross-mapped,NA
Obsessive-compulsive disorder,F42.9,"Obsessive-compulsive disorder, unspecified",Cross-mapped,NA
Obsessive-compulsive disorder,F45.2,Hypochondriacal disorder,Cross-mapped,NA
Obsessive-compulsive disorder,F60.5,Anankastic personality disorder,Cross-mapped,NA
Obsessive-compulsive disorder,F63.3,Trichotillomania,Cross-mapped,NA
Obsessive-compulsive disorder,F63.8,Other habit and impulse disorders,Cross-mapped,NA
Obsessive-compulsive disorder,F63.9,"Habit and impulse disorder, unspecified",Cross-mapped,NA
Obsessive-compulsive disorder,K13.0,Diseases of lips,Cross-mapped,NA
Obsessive-compulsive disorder,L50.3,Dermatographic urticaria,Cross-mapped,NA
Obsessive-compulsive disorder,L98.1,Factitial dermatitis,Cross-mapped,NA
Obstructive and reflux uropathy,N13.0,Hydronephrosis with ureteropelvic junction obstruction,Overlap,NA
Obstructive and reflux uropathy,N13.1,Hydronephrosis with ureteral stricture,Overlap,NA
Obstructive and reflux uropathy,N13.2,Hydronephrosis with renal and ureteral calculous obstruction,Overlap,NA
Obstructive and reflux uropathy,N13.3,Other and unspecified hydronephrosis,Overlap,NA
Obstructive and reflux uropathy,N13.4,Hydroureter,Overlap,NA
Obstructive and reflux uropathy,N13.5,Kinking and stricture of ureter without hydronephrosis,Overlap,NA
Obstructive and reflux uropathy,N13.6,Pyonephrosis,Kuan,NA
Obstructive and reflux uropathy,N13.7,Vesicoureteral-reflux-associated uropathy,Overlap,NA
Obstructive and reflux uropathy,N13.8,Other obstructive and reflux uropathy,Overlap,NA
Obstructive and reflux uropathy,N13.9,Obstructive and reflux uropathy,Overlap,NA
Oesophagitis and oesophageal ulcer,B37.8,Candidiasis of other sites,Cross-mapped,NA
Oesophagitis and oesophageal ulcer,K20,Oesophagitis,Overlap,NA
Oesophagitis and oesophageal ulcer,K21.0,Gastro-oesophageal reflux disease with oesophagitis,Overlap,NA
Oesophagitis and oesophageal ulcer,K22.1,Ulcer of oesophagus,Overlap,NA
Osteoarthritis (excl spine),M15,Polyarthrosis,Kuan,NA
Osteoarthritis (excl spine),M15.0,Primary generalized (osteo)arthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M15.1,Heberden nodes (with arthropathy),Cross-mapped,NA
Osteoarthritis (excl spine),M15.2,Bouchard nodes (with arthropathy),Cross-mapped,NA
Osteoarthritis (excl spine),M15.3,Secondary multiple arthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M15.4,Erosive (osteo)arthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M15.8,Other polyarthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M15.9,"Polyarthrosis, unspecified",Cross-mapped,NA
Osteoarthritis (excl spine),M16,Coxarthrosis [arthrosis of hip],Kuan,NA
Osteoarthritis (excl spine),M16.0,"Primary coxarthrosis, bilateral",Cross-mapped,NA
Osteoarthritis (excl spine),M16.1,Other primary coxarthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M16.2,"Coxarthrosis resulting from dysplasia, bilateral",Cross-mapped,NA
Osteoarthritis (excl spine),M16.3,Other dysplastic coxarthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M16.6,"Other secondary coxarthrosis, bilateral",Cross-mapped,NA
Osteoarthritis (excl spine),M16.7,Other secondary coxarthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M16.9,"Coxarthrosis, unspecified",Cross-mapped,NA
Osteoarthritis (excl spine),M17,Gonarthrosis [arthrosis of knee],Kuan,NA
Osteoarthritis (excl spine),M17.0,"Primary gonarthrosis, bilateral",Cross-mapped,NA
Osteoarthritis (excl spine),M17.1,Other primary gonarthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M17.4,"Other secondary gonarthrosis, bilateral",Cross-mapped,NA
Osteoarthritis (excl spine),M17.5,Other secondary gonarthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M17.9,"Gonarthrosis, unspecified",Cross-mapped,NA
Osteoarthritis (excl spine),M18,Arthrosis of first carpometacarpal joint,Kuan,NA
Osteoarthritis (excl spine),M18.0,"Primary arthrosis of first carpometacarpal joints, bilateral",Cross-mapped,NA
Osteoarthritis (excl spine),M18.1,Other primary arthrosis of first carpometacarpal joint,Cross-mapped,NA
Osteoarthritis (excl spine),M18.9,"Arthrosis of first carpometacarpal joint, unspecified",Cross-mapped,NA
Osteoarthritis (excl spine),M19,Other arthrosis,Overlap,NA
Osteoarthritis (excl spine),M19.0,Primary arthrosis of other joints,Cross-mapped,NA
Osteoarthritis (excl spine),M19.2,Other secondary arthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M19.8,Other specified arthrosis,Cross-mapped,NA
Osteoarthritis (excl spine),M19.9,"Arthrosis, unspecified",Cross-mapped,NA
Osteoarthritis (excl spine),M47.9,"Spondylosis, unspecified",Cross-mapped,NA
Osteoporosis,M40.2,Other and unspecified kyphosis,Cross-mapped,NA
Osteoporosis,M80,Osteoporosis with pathological fracture,Kuan,NA
Osteoporosis,M80.0,Postmenopausal osteoporosis with pathological fracture,Cross-mapped,NA
Osteoporosis,M80.1,Postoophorectomy osteoporosis with pathological fracture,Cross-mapped,NA
Osteoporosis,M80.2,Osteoporosis of disuse with pathological fracture,Cross-mapped,NA
Osteoporosis,M80.4,Drug-induced osteoporosis with pathological fracture,Cross-mapped,NA
Osteoporosis,M80.5,Idiopathic osteoporosis with pathological fracture,Cross-mapped,NA
Osteoporosis,M80.8,Other osteoporosis with pathological fracture,Cross-mapped,NA
Osteoporosis,M80.9,Unspecified osteoporosis with pathological fracture,Cross-mapped,NA
Osteoporosis,M81,Osteoporosis without pathological fracture,Kuan,NA
Osteoporosis,M81.0,Postmenopausal osteoporosis,Cross-mapped,NA
Osteoporosis,M81.1,Postoophorectomy osteoporosis,Cross-mapped,NA
Osteoporosis,M81.2,Osteoporosis of disuse,Cross-mapped,NA
Osteoporosis,M81.3,Postsurgical malabsorption osteoporosis,Cross-mapped,NA
Osteoporosis,M81.4,Drug-induced osteoporosis,Cross-mapped,NA
Osteoporosis,M81.5,Idiopathic osteoporosis,Cross-mapped,NA
Osteoporosis,M81.6,Localized osteoporosis [Lequesne],Cross-mapped,NA
Osteoporosis,M81.8,Other osteoporosis,Cross-mapped,NA
Osteoporosis,M81.9,"Osteoporosis, unspecified",Cross-mapped,NA
Osteoporosis,M82,Osteoporosis in diseases classified elsewhere,Kuan,NA
Osteoporosis,M84.4,"Pathological fracture, not elsewhere classified",Cross-mapped,NA
Other anaemias,D46.4,"Refractory anaemia, unspecified",Cross-mapped,NA
Other anaemias,D50.8,Other iron deficiency anaemias,Cross-mapped,NA
Other anaemias,D52.0,Dietary folate deficiency anaemia,Cross-mapped,NA
Other anaemias,D52.9,"Folate deficiency anaemia, unspecified",Cross-mapped,NA
Other anaemias,D53,Other nutritional anaemias,Kuan,NA
Other anaemias,D53.0,Protein deficiency anaemia,Cross-mapped,NA
Other anaemias,D53.1,"Other megaloblastic anaemias, not elsewhere classified",Cross-mapped,NA
Other anaemias,D53.2,Scorbutic anaemia,Cross-mapped,NA
Other anaemias,D53.8,Other specified nutritional anaemias,Cross-mapped,NA
Other anaemias,D53.9,"Nutritional anaemia, unspecified",Cross-mapped,NA
Other anaemias,D56.1,Beta thalassaemia,Cross-mapped,NA
Other anaemias,D56.3,Thalassaemia trait,Overlap,NA
Other anaemias,D56.9,"Thalassaemia, unspecified",Cross-mapped,NA
Other anaemias,D61.9,"Aplastic anaemia, unspecified",Cross-mapped,NA
Other anaemias,D62,Acute posthaemorrhagic anaemia,Overlap,NA
Other anaemias,D63,Anaemia in chronic diseases classified elsewhere,Kuan,NA
Other anaemias,D64,Other anaemias,Kuan,NA
Other anaemias,D64.0,Hereditary sideroblastic anaemia,Cross-mapped,NA
Other anaemias,D64.1,Secondary sideroblastic anaemia due to disease,Cross-mapped,NA
Other anaemias,D64.2,Secondary sideroblastic anaemia due to drugs and toxins,Cross-mapped,NA
Other anaemias,D64.3,Other sideroblastic anaemias,Cross-mapped,NA
Other anaemias,D64.4,Congenital dyserythropoietic anaemia,Cross-mapped,NA
Other anaemias,D64.8,Other specified anaemias,Cross-mapped,NA
Other anaemias,D64.9,"Anaemia, unspecified",Cross-mapped,NA
Other anaemias,E79.8,Other disorders of purine and pyrimidine metabolism,Cross-mapped,NA
Other anaemias,P61.2,Anaemia of prematurity,Cross-mapped,NA
Other anaemias,P61.3,Congenital anaemia from fetal blood loss,Cross-mapped,NA
Other anaemias,P61.4,"Other congenital anaemias, not elsewhere classified",Cross-mapped,NA
Other haemolytic anaemias,D55,Anaemia due to enzyme disorders,Kuan,NA
Other haemolytic anaemias,D55.0,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,Cross-mapped,NA
Other haemolytic anaemias,D55.1,Anaemia due to other disorders of glutathione metabolism,Cross-mapped,NA
Other haemolytic anaemias,D55.2,Anaemia due to disorders of glycolytic enzymes,Cross-mapped,NA
Other haemolytic anaemias,D55.3,Anaemia due to disorders of nucleotide metabolism,Cross-mapped,NA
Other haemolytic anaemias,D55.9,"Anaemia due to enzyme disorder, unspecified",Cross-mapped,NA
Other haemolytic anaemias,D56.0,Alpha thalassaemia,Cross-mapped,NA
Other haemolytic anaemias,D56.4,Hereditary persistence of fetal haemoglobin [HPFH],Cross-mapped,NA
Other haemolytic anaemias,D58,Other hereditary haemolytic anaemias,Kuan,NA
Other haemolytic anaemias,D58.0,Hereditary spherocytosis,Cross-mapped,NA
Other haemolytic anaemias,D58.1,Hereditary elliptocytosis,Cross-mapped,NA
Other haemolytic anaemias,D58.2,Other haemoglobinopathies,Cross-mapped,NA
Other haemolytic anaemias,D58.8,Other specified hereditary haemolytic anaemias,Cross-mapped,NA
Other haemolytic anaemias,D58.9,"Hereditary haemolytic anaemia, unspecified",Cross-mapped,NA
Other haemolytic anaemias,D59,Acquired haemolytic anaemia,Kuan,NA
Other haemolytic anaemias,D59.0,Drug-induced autoimmune haemolytic anaemia,Cross-mapped,NA
Other haemolytic anaemias,D59.1,Other autoimmune haemolytic anaemias,Cross-mapped,NA
Other haemolytic anaemias,D59.2,Drug-induced nonautoimmune haemolytic anaemia,Cross-mapped,NA
Other haemolytic anaemias,D59.3,Haemolytic-uraemic syndrome,Cross-mapped,NA
Other haemolytic anaemias,D59.4,Other nonautoimmune haemolytic anaemias,Cross-mapped,NA
Other haemolytic anaemias,D59.5,Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli],Cross-mapped,NA
Other haemolytic anaemias,D59.6,Haemoglobinuria due to haemolysis from other external causes,Cross-mapped,NA
Other haemolytic anaemias,D59.8,Other acquired haemolytic anaemias,Cross-mapped,NA
Other haemolytic anaemias,D59.9,"Acquired haemolytic anaemia, unspecified",Cross-mapped,NA
Other interstitial pulmonary diseases with fibrosis,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Cross-mapped,NA
Other interstitial pulmonary diseases with fibrosis,J63.1,Bauxite fibrosis (of lung),Cross-mapped,NA
Other interstitial pulmonary diseases with fibrosis,J63.3,Graphite fibrosis (of lung),Cross-mapped,NA
Other interstitial pulmonary diseases with fibrosis,J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours",Cross-mapped,NA
Other interstitial pulmonary diseases with fibrosis,J70.1,Chronic and other pulmonary manifestations due to radiation,Cross-mapped,NA
Other interstitial pulmonary diseases with fibrosis,J70.3,Chronic drug-induced interstitial lung disorders,Cross-mapped,NA
Other interstitial pulmonary diseases with fibrosis,J84.1,Other interstitial pulmonary diseases with fibrosis,Overlap,NA
Other psychoactive substance misuse,F11,Mental and behavioural disorders due to use of opioids,Overlap,NA
Other psychoactive substance misuse,F11.2,Mental and behavioural disorders due to use of opioids dependence syndrome,Cross-mapped,NA
Other psychoactive substance misuse,F11.3,Mental and behavioural disorders due to use of opioids withdrawal state,Cross-mapped,NA
Other psychoactive substance misuse,F12,Mental and behavioural disorders due to use of cannabinoids,Kuan,NA
Other psychoactive substance misuse,F12.2,Mental and behavioural disorders due to use of cannabinoids dependence syndrome,Cross-mapped,NA
Other psychoactive substance misuse,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,Kuan,NA
Other psychoactive substance misuse,F13.2,Mental and behavioural disorders due to use of sedatives or hypnotics dependence syndrome,Cross-mapped,NA
Other psychoactive substance misuse,F14,Mental and behavioural disorders due to use of cocaine,Overlap,NA
Other psychoactive substance misuse,F14.2,Mental and behavioural disorders due to use of cocaine dependence syndrome,Cross-mapped,NA
Other psychoactive substance misuse,F15,Mental and behavioural disorders due to use of other stimulants,Kuan,NA
Other psychoactive substance misuse,F15.2,"Mental and behavioural disorders due to use of other stimulants, including caffeine dependence syndrome",Cross-mapped,NA
Other psychoactive substance misuse,F16,Mental and behavioural disorders due to use of hallucinogens,Kuan,NA
Other psychoactive substance misuse,F16.2,Mental and behavioural disorders due to use of hallucinogens dependence syndrome,Cross-mapped,NA
Other psychoactive substance misuse,F16.7,Mental and behavioural disorders due to use of hallucinogens residual and late-onset psychotic disorder,Cross-mapped,NA
Other psychoactive substance misuse,F18,Mental and behavioural disorders due to use of volatile solvents,Kuan,NA
Other psychoactive substance misuse,F18.2,Mental and behavioural disorders due to use of volatile solvents dependence syndrome,Cross-mapped,NA
Other psychoactive substance misuse,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,Kuan,NA
Other psychoactive substance misuse,F19.2,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances dependence syndrome,Cross-mapped,NA
Other psychoactive substance misuse,O99.3,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium",Cross-mapped,NA
Other psychoactive substance misuse,T40.1,Poisoning: Heroin,Cross-mapped,NA
Other psychoactive substance misuse,T40.2,Poisoning: Other opioids,Cross-mapped,NA
Other psychoactive substance misuse,T40.5,Poisoning: Cocaine,Cross-mapped,NA
Other psychoactive substance misuse,T40.7,Poisoning: Cannabis (derivatives),Cross-mapped,NA
Other psychoactive substance misuse,T43.6,Poisoning: Psychostimulants with abuse potential,Cross-mapped,NA
Other psychoactive substance misuse,X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",Cross-mapped,NA
Other psychoactive substance misuse,X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",Cross-mapped,NA
Other psychoactive substance misuse,Y45.0,Opioids and related analgesics,Cross-mapped,NA
Other psychoactive substance misuse,Y46.3,Deoxybarbiturates,Cross-mapped,NA
Other psychoactive substance misuse,Y48.3,Local anaesthetics,Cross-mapped,NA
Other psychoactive substance misuse,Z71.5,Drug abuse counselling and surveillance,Cross-mapped,NA
Other psychoactive substance misuse,Z86.4,Personal history of psychoactive substance abuse,Cross-mapped,NA
Painful conditions,F45.4,Persistent somatoform pain disorder,New code list,NA
Painful conditions,G50.1,Atypical facial pain,New code list,NA
Painful conditions,G54.6,Phantom limb syndrome with pain,New code list,NA
Painful conditions,G54.7,Phantom limb syndrome without pain,New code list,NA
Painful conditions,H57.1,Ocular pain,New code list,NA
Painful conditions,M25.5,Pain in joint,New code list,NA
Painful conditions,M54.5,Low back pain,New code list,NA
Painful conditions,M54.6,Pain in thoracic spine,New code list,NA
Painful conditions,M79.6,Pain in limb,New code list,NA
Painful conditions,N94,Pain and other conditions associated with female genital organs and menstrual cycle,New code list,NA
Painful conditions,R07,Pain in throat and chest,New code list,NA
Painful conditions,R07.0,Pain in throat,New code list,NA
Painful conditions,R07.1,Chest pain on breathing,New code list,NA
Painful conditions,R07.2,Precordial pain,New code list,NA
Painful conditions,R07.3,Other chest pain,New code list,NA
Painful conditions,R07.4,"Chest pain, unspecified",New code list,NA
Painful conditions,R10,Abdominal and pelvic pain,New code list,NA
Painful conditions,R10.1,Pain localized to upper abdomen,New code list,NA
Painful conditions,R10.2,Pelvic and perineal pain,New code list,NA
Painful conditions,R10.3,Pain localized to other parts of lower abdomen,New code list,NA
Painful conditions,R10.4,Other and unspecified abdominal pain,New code list,NA
Painful conditions,R20.3,Hyperaesthesia,New code list,NA
Painful conditions,R30,Pain associated with micturition,New code list,NA
Painful conditions,R30.9,"Painful micturition, unspecified",New code list,NA
Painful conditions,R52,"Pain, not elsewhere classified",New code list,NA
Painful conditions,R52.0,Acute pain,New code list,NA
Painful conditions,R52.1,Chronic intractable pain,New code list,NA
Painful conditions,R52.2,Other chronic pain,New code list,NA
Painful conditions,R52.9,"Pain, unspecified",New code list,NA
Painful conditions,T65.6,"Toxic effect: Paints and dyes, not elsewhere classified",New code list,NA
Pancreatitis,K85,Acute pancreatitis,Overlap,NA
Pancreatitis,K85.0,Idiopathic acute pancreatitis,Cross-mapped,NA
Pancreatitis,K85.1,Biliary acute pancreatitis,Cross-mapped,NA
Pancreatitis,K85.2,Alcohol-induced acute pancreatitis,Cross-mapped,NA
Pancreatitis,K85.3,Drug-induced acute pancreatitis,Cross-mapped,NA
Pancreatitis,K85.8,Other acute pancreatitis,Cross-mapped,NA
Pancreatitis,K85.9,"Acute pancreatitis, unspecified",Cross-mapped,NA
Pancreatitis,K86.0,Alcohol-induced chronic pancreatitis,Overlap,NA
Pancreatitis,K86.1,Other chronic pancreatitis,Overlap,NA
Pancreatitis,K86.3,Pseudocyst of pancreas,Overlap,NA
Pancreatitis,K86.9,"Disease of pancreas, unspecified",Cross-mapped,NA
Parkinson's disease,F02.3,Dementia in Parkinson's disease,Kuan,NA
Parkinson's disease,G20,Parkinson's disease,Overlap,NA
Peptic ulcer disease,K22.1,Ulcer of oesophagus,Cross-mapped,NA
Peptic ulcer disease,K25,Gastric ulcer,Overlap,NA
Peptic ulcer disease,K25.0,Gastric ulcer acute with haemorrhage,Cross-mapped,NA
Peptic ulcer disease,K25.1,Gastric ulcer acute with perforation,Cross-mapped,NA
Peptic ulcer disease,K25.2,Gastric ulcer acute with both haemorrhage and perforation,Cross-mapped,NA
Peptic ulcer disease,K25.3,Gastric ulcer acute without haemorrhage or perforation,Cross-mapped,NA
Peptic ulcer disease,K25.4,Gastric ulcer chronic or unspecified with haemorrhage,Cross-mapped,NA
Peptic ulcer disease,K25.5,Gastric ulcer chronic or unspecified with perforation,Cross-mapped,NA
Peptic ulcer disease,K25.6,Gastric ulcer chronic or unspecified with both haemorrhage and perforation,Cross-mapped,NA
Peptic ulcer disease,K25.7,Gastric ulcer chronic without haemorrhage or perforation,Cross-mapped,NA
Peptic ulcer disease,K25.9,"Gastric ulcer unspecified as acute or chronic, without haemorrhage or perforation",Cross-mapped,NA
Peptic ulcer disease,K26,Duodenal ulcer,Overlap,NA
Peptic ulcer disease,K26.0,Duodenal ulcer acute with haemorrhage,Cross-mapped,NA
Peptic ulcer disease,K26.1,Duodenal ulcer acute with perforation,Cross-mapped,NA
Peptic ulcer disease,K26.2,Duodenal ulcer acute with both haemorrhage and perforation,Cross-mapped,NA
Peptic ulcer disease,K26.3,Duodenal ulcer acute without haemorrhage or perforation,Cross-mapped,NA
Peptic ulcer disease,K26.4,Duodenal ulcer chronic or unspecified with haemorrhage,Cross-mapped,NA
Peptic ulcer disease,K26.5,Duodenal ulcer chronic or unspecified with perforation,Cross-mapped,NA
Peptic ulcer disease,K26.6,Duodenal ulcer chronic or unspecified with both haemorrhage and perforation,Cross-mapped,NA
Peptic ulcer disease,K26.7,Duodenal ulcer chronic without haemorrhage or perforation,Cross-mapped,NA
Peptic ulcer disease,K26.9,"Duodenal ulcer unspecified as acute or chronic, without haemorrhage or perforation",Cross-mapped,NA
Peptic ulcer disease,K27,Peptic ulcer,Kuan,NA
Peptic ulcer disease,K27.0,"Peptic ulcer, site unspecified acute with haemorrhage",Cross-mapped,NA
Peptic ulcer disease,K27.1,"Peptic ulcer, site unspecified acute with perforation",Cross-mapped,NA
Peptic ulcer disease,K27.2,"Peptic ulcer, site unspecified acute with both haemorrhage and perforation",Cross-mapped,NA
Peptic ulcer disease,K27.3,"Peptic ulcer, site unspecified acute without haemorrhage or perforation",Cross-mapped,NA
Peptic ulcer disease,K27.4,"Peptic ulcer, site unspecified chronic or unspecified with haemorrhage",Cross-mapped,NA
Peptic ulcer disease,K27.5,"Peptic ulcer, site unspecified chronic or unspecified with perforation",Cross-mapped,NA
Peptic ulcer disease,K27.6,"Peptic ulcer, site unspecified chronic or unspecified with both haemorrhage and perforation",Cross-mapped,NA
Peptic ulcer disease,K27.7,"Peptic ulcer, site unspecified chronic without haemorrhage or perforation",Cross-mapped,NA
Peptic ulcer disease,K27.9,"Peptic ulcer, site unspecified unspecified as acute or chronic, without haemorrhage or perforation",Cross-mapped,NA
Peptic ulcer disease,K28,Gastrojejunal ulcer,Overlap,NA
Peptic ulcer disease,K28.0,Gastrojejunal ulcer acute with haemorrhage,Cross-mapped,NA
Peptic ulcer disease,K28.1,Gastrojejunal ulcer acute with perforation,Cross-mapped,NA
Peptic ulcer disease,K28.2,Gastrojejunal ulcer acute with both haemorrhage and perforation,Cross-mapped,NA
Peptic ulcer disease,K28.3,Gastrojejunal ulcer acute without haemorrhage or perforation,Cross-mapped,NA
Peptic ulcer disease,K28.4,Gastrojejunal ulcer chronic or unspecified with haemorrhage,Cross-mapped,NA
Peptic ulcer disease,K28.5,Gastrojejunal ulcer chronic or unspecified with perforation,Cross-mapped,NA
Peptic ulcer disease,K28.6,Gastrojejunal ulcer chronic or unspecified with both haemorrhage and perforation,Cross-mapped,NA
Peptic ulcer disease,K28.7,Gastrojejunal ulcer chronic without haemorrhage or perforation,Cross-mapped,NA
Peptic ulcer disease,K28.9,"Gastrojejunal ulcer unspecified as acute or chronic, without haemorrhage or perforation",Cross-mapped,NA
Peptic ulcer disease,Z87.1,Personal history of diseases of the digestive system,Cross-mapped,NA
Peripheral arterial disease,A48.0,Gas gangrene,Cross-mapped,NA
Peripheral arterial disease,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications,Cross-mapped,NA
Peripheral arterial disease,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications,Cross-mapped,NA
Peripheral arterial disease,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications,Cross-mapped,NA
Peripheral arterial disease,I70.0,Atherosclerosis of aorta,Cross-mapped,NA
Peripheral arterial disease,I70.2,Atherosclerosis of arteries of extremities,Cross-mapped,NA
Peripheral arterial disease,I73,Other peripheral vascular diseases,Cross-mapped,NA
Peripheral arterial disease,I73.1,Thromboangiitis obliterans [Buerger],Cross-mapped,NA
Peripheral arterial disease,I73.8,Other specified peripheral vascular diseases,Cross-mapped,NA
Peripheral arterial disease,I73.9,"Peripheral vascular disease, unspecified",Cross-mapped,NA
Peripheral arterial disease,I731,Thromboangiitis obliterans [Buerger],Kuan,NA
Peripheral arterial disease,I738,Other specified peripheral vascular diseases,Kuan,NA
Peripheral arterial disease,I739,Peripheral vascular disease,Kuan,NA
Peripheral arterial disease,I74.0,Embolism and thrombosis of abdominal aorta,Cross-mapped,NA
Peripheral arterial disease,I74.3,Embolism and thrombosis of arteries of lower extremities,Cross-mapped,NA
Peripheral arterial disease,I74.4,"Embolism and thrombosis of arteries of extremities, unspecified",Cross-mapped,NA
Peripheral arterial disease,I74.5,Embolism and thrombosis of iliac artery,Cross-mapped,NA
Peripheral arterial disease,I743,Embolism and thrombosis of arteries of lower extremities,Kuan,NA
Peripheral arterial disease,I744,Embolism and thrombosis of arteries of extremities,Kuan,NA
Peripheral arterial disease,I745,Embolism and thrombosis of iliac artery,Kuan,NA
Peripheral arterial disease,L97,"Ulcer of lower limb, not elsewhere classified",Cross-mapped,NA
Peripheral arterial disease,R02,"Gangrene, not elsewhere classified",Cross-mapped,NA
Peripheral arterial disease,R57.9,"Shock, unspecified",Cross-mapped,NA
Peripheral venous and lymphatic disease,I78.0,Hereditary haemorrhagic telangiectasia,New code list,NA
Peripheral venous and lymphatic disease,I80.1,Phlebitis and thrombophlebitis of femoral vein,New code list,NA
Peripheral venous and lymphatic disease,I81,Portal vein thrombosis,New code list,NA
Peripheral venous and lymphatic disease,I82.3,Embolism and thrombosis of renal vein,New code list,NA
Peripheral venous and lymphatic disease,I82.8,Embolism and thrombosis of other specified veins,New code list,NA
Peripheral venous and lymphatic disease,I82.9,Embolism and thrombosis of unspecified vein,New code list,NA
Peripheral venous and lymphatic disease,I83,Varicose veins of lower extremities,New code list,NA
Peripheral venous and lymphatic disease,I83.0,Varicose veins of lower extremities with ulcer,New code list,NA
Peripheral venous and lymphatic disease,I83.1,Varicose veins of lower extremities with inflammation,New code list,NA
Peripheral venous and lymphatic disease,I83.2,Varicose veins of lower extremities with both ulcer and inflammation,New code list,NA
Peripheral venous and lymphatic disease,I83.9,Varicose veins of lower extremities without ulcer or inflammation,New code list,NA
Peripheral venous and lymphatic disease,I86,Varicose veins of other sites,New code list,NA
Peripheral venous and lymphatic disease,I86.8,Varicose veins of other specified sites,New code list,NA
Peripheral venous and lymphatic disease,I87,Other disorders of veins,New code list,NA
Peripheral venous and lymphatic disease,I87.0,Postthrombotic syndrome,New code list,NA
Peripheral venous and lymphatic disease,I87.1,Compression of vein,New code list,NA
Peripheral venous and lymphatic disease,I87.2,Venous insufficiency (chronic)(peripheral),New code list,NA
Peripheral venous and lymphatic disease,I87.8,Other specified disorders of veins,New code list,NA
Peripheral venous and lymphatic disease,I87.9,"Disorder of vein, unspecified",New code list,NA
Peripheral venous and lymphatic disease,I89,Other noninfective disorders of lymphatic vessels and lymph nodes,New code list,NA
Peripheral venous and lymphatic disease,I89.0,"Lymphoedema, not elsewhere classified",New code list,NA
Peripheral venous and lymphatic disease,I89.1,Lymphangitis,New code list,NA
Peripheral venous and lymphatic disease,I89.8,Other specified noninfective disorders of lymphatic vessels and lymph nodes,New code list,NA
Peripheral venous and lymphatic disease,I89.9,"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified",New code list,NA
Peripheral venous and lymphatic disease,I97.2,Postmastectomy lymphoedema syndrome,New code list,NA
Peripheral venous and lymphatic disease,K75.1,Phlebitis of portal vein,New code list,NA
Peripheral venous and lymphatic disease,L85.8,Other specified epidermal thickening,New code list,NA
Peripheral venous and lymphatic disease,L97,"Ulcer of lower limb, not elsewhere classified",New code list,NA
Peripheral venous and lymphatic disease,O22.0,Varicose veins of lower extremity in pregnancy,New code list,NA
Peripheral venous and lymphatic disease,O22.9,"Venous complication in pregnancy, unspecified",New code list,NA
Peripheral venous and lymphatic disease,O87.8,Other venous complications in the puerperium,New code list,NA
Peripheral venous and lymphatic disease,Q26,Congenital malformations of great veins,New code list,NA
Peripheral venous and lymphatic disease,Q26.6,Portal vein-hepatic artery fistula,New code list,NA
Peripheral venous and lymphatic disease,Q26.8,Other congenital malformations of great veins,New code list,NA
Peripheral venous and lymphatic disease,Q26.9,"Congenital malformation of great vein, unspecified",New code list,NA
Peripheral venous and lymphatic disease,Q79.8,Other congenital malformations of musculoskeletal system,New code list,NA
Peripheral venous and lymphatic disease,Q82.0,Hereditary lymphoedema,New code list,NA
Peripheral venous and lymphatic disease,S15.2,Injury of external jugular vein,New code list,NA
Peripheral venous and lymphatic disease,S15.3,Injury of internal jugular vein,New code list,NA
Peripheral venous and lymphatic disease,S25.3,Injury of innominate or subclavian vein,New code list,NA
Peripheral venous and lymphatic disease,S35.3,Injury of portal or splenic vein,New code list,NA
Peripheral venous and lymphatic disease,S45.2,Injury of axillary or brachial vein,New code list,NA
Peripheral venous and lymphatic disease,S45.3,Injury of superficial vein at shoulder and upper arm level,New code list,NA
Peripheral venous and lymphatic disease,S55.2,Injury of vein at forearm level,New code list,NA
Peripheral venous and lymphatic disease,S75.1,Injury of femoral vein at hip and thigh level,New code list,NA
