Condition,ICD10code,ICD10codeDescr
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G58.7,Mononeuritis multiplex
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G58.8,Other specified mononeuropathies
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G58.9,Mononeuropathy, unspecified
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G59,Mononeuropathy in diseases classified elsewhere
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G60,Hereditary and idiopathic neuropathy
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G60.0,Hereditary motor and sensory neuropathy
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G60.1,Refsum disease
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G60.2,Neuropathy in association with hereditary ataxia
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G60.3,Idiopathic progressive neuropathy
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G60.8,Other hereditary and idiopathic neuropathies
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G60.9,Hereditary and idiopathic neuropathy, unspecified
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G61,Inflammatory polyneuropathy
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G61.0,Guillain-Barr» syndrome
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G61.1,Serum neuropathy
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G61.8,Other inflammatory polyneuropathies
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G61.9,Inflammatory polyneuropathy, unspecified
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G62,Other polyneuropathies
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G62.0,Drug-induced polyneuropathy
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G62.1,Alcoholic polyneuropathy
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G62.2,Polyneuropathy due to other toxic agents
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G62.8,Other specified polyneuropathies
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G62.9,Polyneuropathy, unspecified
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G63,Polyneuropathy in diseases classified elsewhere
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),G64,Other disorders of peripheral nervous system
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),M14.6,Neuropathic arthropathy
Non-diabetic peripheral neuropathies (excluding cranial nerves and carpal tunnel syndrome),M49.4,Neuropathic spondylopathy
Non-Hodgkin Lymphoma,B21.1,HIV disease resulting in Burkitt lymphoma
Non-Hodgkin Lymphoma,B21.2,HIV disease resulting in other types of non-Hodgkin lymphoma
Non-Hodgkin Lymphoma,C82,Follicular lymphoma
Non-Hodgkin Lymphoma,C82.0,Follicular lymphoma grade I
Non-Hodgkin Lymphoma,C82.1,Follicular lymphoma grade II
Non-Hodgkin Lymphoma,C82.2,Follicular lymphoma grade III, unspecified
Non-Hodgkin Lymphoma,C82.3,Follicular lymphoma grade IIIa
Non-Hodgkin Lymphoma,C82.4,Follicular lymphoma grade IIIb
Non-Hodgkin Lymphoma,C82.5,Diffuse follicle centre lymphoma
Non-Hodgkin Lymphoma,C82.6,Cutaneous follicle centre lymphoma
Non-Hodgkin Lymphoma,C82.7,Other types of follicular lymphoma
Non-Hodgkin Lymphoma,C82.9,Follicular lymphoma, unspecified
Non-Hodgkin Lymphoma,C83,Non-follicular lymphoma
Non-Hodgkin Lymphoma,C83.0,Small cell B-cell lymphoma
Non-Hodgkin Lymphoma,C83.1,Mantle cell lymphoma
Non-Hodgkin Lymphoma,C83.3,Diffuse large B-cell lymphoma
Non-Hodgkin Lymphoma,C83.5,Lymphoblastic (diffuse) lymphoma
Non-Hodgkin Lymphoma,C83.7,Burkitt lymphoma
Non-Hodgkin Lymphoma,C83.8,Other non-follicular lymphoma
Non-Hodgkin Lymphoma,C83.9,Non-follicular (diffuse) lymphoma, unspecified
Non-Hodgkin Lymphoma,C84,Mature T/NK-cell lymphomas
Non-Hodgkin Lymphoma,C84.0,Mycosis fungoides
Non-Hodgkin Lymphoma,C84.1,S»zary disease
Non-Hodgkin Lymphoma,C84.4,Peripheral T-cell lymphoma, not elsewhere classified
Non-Hodgkin Lymphoma,C84.5,Other mature T/NK-cell lymphomas
Non-Hodgkin Lymphoma,C84.6,Anaplastic large cell lymphoma, ALK-positive
Non-Hodgkin Lymphoma,C84.7,Anaplastic large cell lymphoma, ALK-negative
Non-Hodgkin Lymphoma,C84.8,Cutaneous T-cell lymphoma, unspecified
Non-Hodgkin Lymphoma,C85,Other and unspecified types of non-Hodgkin lymphoma
Non-Hodgkin Lymphoma,C85.1,B-cell lymphoma, unspecified
Non-Hodgkin Lymphoma,C85.2,Mediastinal (thymic) large B-cell lymphoma
Non-Hodgkin Lymphoma,C85.7,Other specified types of non-Hodgkin lymphoma
Non-Hodgkin Lymphoma,C85.9,Non-Hodgkin lymphoma, unspecified
Non-Hodgkin Lymphoma,C86,Other specified types of T/NK-cell lymphoma
Non-Hodgkin Lymphoma,C86.0,Extranodal NK/T-cell lymphoma, nasal type
Non-Hodgkin Lymphoma,C86.1,Hepatosplenic T-cell lymphoma
Non-Hodgkin Lymphoma,C86.2,Enteropathy-type (intestinal) T-cell lymphoma
Non-Hodgkin Lymphoma,C86.3,Subcutaneous panniculitis-like T-cell lymphoma
Non-Hodgkin Lymphoma,C86.4,Blastic NK-cell lymphoma
Non-Hodgkin Lymphoma,C86.5,Angioimmunoblastic T-cell lymphoma
Non-Hodgkin Lymphoma,C86.6,Primary cutaneous CD30-positive T-cell proliferations
Non-Hodgkin Lymphoma,C88.3,Immunoproliferative small intestinal disease
Non-Hodgkin Lymphoma,C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
Non-Hodgkin Lymphoma,C96.9,Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified
Non-malignant tumour of brain, central nervous system and pituitary,D21.5,Benign neoplasm: Connective and other soft tissue of pelvis
Non-malignant tumour of brain, central nervous system and pituitary,D32,Benign neoplasm of meninges
Non-malignant tumour of brain, central nervous system and pituitary,D32.0,Benign neoplasm: Cerebral meninges
Non-malignant tumour of brain, central nervous system and pituitary,D32.1,Benign neoplasm: Spinal meninges
Non-malignant tumour of brain, central nervous system and pituitary,D32.9,Benign neoplasm: Meninges, unspecified
Non-malignant tumour of brain, central nervous system and pituitary,D33,Benign neoplasm of brain and other parts of central nervous system
Non-malignant tumour of brain, central nervous system and pituitary,D33.0,Benign neoplasm: Brain, supratentorial
Non-malignant tumour of brain, central nervous system and pituitary,D33.2,Benign neoplasm: Brain, unspecified
Non-malignant tumour of brain, central nervous system and pituitary,D33.3,Benign neoplasm: Cranial nerves
Non-malignant tumour of brain, central nervous system and pituitary,D33.4,Benign neoplasm: Spinal cord
Non-malignant tumour of brain, central nervous system and pituitary,D33.9,Benign neoplasm: Central nervous system, unspecified
Non-malignant tumour of brain, central nervous system and pituitary,D35.2,Benign neoplasm: Pituitary gland
Non-malignant tumour of brain, central nervous system and pituitary,D35.2,Benign neoplasm: Pituitary gland
Non-malignant tumour of brain, central nervous system and pituitary,D35.3,Benign neoplasm: Craniopharyngeal duct
Non-malignant tumour of brain, central nervous system and pituitary,D35.3,Benign neoplasm: Craniopharyngeal duct
Non-malignant tumour of brain, central nervous system and pituitary,D35.4,Benign neoplasm: Pineal gland
Non-malignant tumour of brain, central nervous system and pituitary,D35.4,Benign neoplasm: Pineal gland
Non-malignant tumour of brain, central nervous system and pituitary,D35.5,Benign neoplasm: Carotid body
Non-malignant tumour of brain, central nervous system and pituitary,D35.5,Benign neoplasm: Carotid body
Non-malignant tumour of brain, central nervous system and pituitary,D35.6,Benign neoplasm: Aortic body and other paraganglia
Non-malignant tumour of brain, central nervous system and pituitary,D35.6,Benign neoplasm: Aortic body and other paraganglia
Non-malignant tumour of brain, central nervous system and pituitary,E24.0,Pituitary-dependent Cushing disease
Obesity,E66,Obesity
Obesity,E66.0,Obesity due to excess calories
Obesity,E66.1,Drug-induced obesity
Obesity,E66.2,Extreme obesity with alveolar hypoventilation
Obesity,E66.8,Other obesity
Obesity,E66.9,Obesity, unspecified
Obesity,Z98.0,Intestinal bypass and anastomosis status
Obsessive-compulsive disorder,F42,Obsessive-compulsive disorder
Obsessive-compulsive disorder,F42.0,Predominantly obsessional thoughts or ruminations
Obsessive-compulsive disorder,F42.1,Predominantly compulsive acts [obsessional rituals]
Obsessive-compulsive disorder,F42.2,Mixed obsessional thoughts and acts
Obsessive-compulsive disorder,F42.8,Other obsessive-compulsive disorders
Obsessive-compulsive disorder,F42.9,Obsessive-compulsive disorder, unspecified
Obsessive-compulsive disorder,F45.2,Hypochondriacal disorder
Obsessive-compulsive disorder,F60.5,Anankastic personality disorder
Obsessive-compulsive disorder,F63.3,Trichotillomania
Obsessive-compulsive disorder,F63.8,Other habit and impulse disorders
Obsessive-compulsive disorder,F63.9,Habit and impulse disorder, unspecified
Obsessive-compulsive disorder,L98.1,Factitial dermatitis
Obstructive and reflux uropathy,N13.0,Hydronephrosis with ureteropelvic junction obstruction
Obstructive and reflux uropathy,N13.1,Hydronephrosis with ureteral stricture
Obstructive and reflux uropathy,N13.1,Hydronephrosis with ureteral stricture, not elsewhere classified
Obstructive and reflux uropathy,N13.2,Hydronephrosis with renal and ureteral calculous obstruction
Obstructive and reflux uropathy,N13.3,Other and unspecified hydronephrosis
Obstructive and reflux uropathy,N13.4,Hydroureter
Obstructive and reflux uropathy,N13.5,Kinking and stricture of ureter without hydronephrosis
Obstructive and reflux uropathy,N13.6,Pyonephrosis
Obstructive and reflux uropathy,N13.7,Vesicoureteral-reflux-associated uropathy
Obstructive and reflux uropathy,N13.8,Other obstructive and reflux uropathy
Obstructive and reflux uropathy,N13.9,Obstructive and reflux uropathy
Obstructive and reflux uropathy,N13.9,Obstructive and reflux uropathy, unspecified
Oesophagitis and oesophageal ulcer,B37.8,Candidiasis of other sites
Oesophagitis and oesophageal ulcer,K20,Oesophagitis
Oesophagitis and oesophageal ulcer,K21.0,Gastro-oesophageal reflux disease with oesophagitis
Oesophagitis and oesophageal ulcer,K22.1,Ulcer of oesophagus
Osteoarthritis (excl spine),M15,Polyarthrosis
Osteoarthritis (excl spine),M15.0,Primary generalized (osteo)arthrosis
Osteoarthritis (excl spine),M15.1,Heberden nodes (with arthropathy)
Osteoarthritis (excl spine),M15.2,Bouchard nodes (with arthropathy)
Osteoarthritis (excl spine),M15.3,Secondary multiple arthrosis
Osteoarthritis (excl spine),M15.4,Erosive (osteo)arthrosis
Osteoarthritis (excl spine),M15.8,Other polyarthrosis
Osteoarthritis (excl spine),M15.9,Polyarthrosis, unspecified
Osteoarthritis (excl spine),M16,Coxarthrosis [arthrosis of hip]
Osteoarthritis (excl spine),M16.0,Primary coxarthrosis, bilateral
Osteoarthritis (excl spine),M16.1,Other primary coxarthrosis
Osteoarthritis (excl spine),M16.2,Coxarthrosis resulting from dysplasia, bilateral
Osteoarthritis (excl spine),M16.3,Other dysplastic coxarthrosis
Osteoarthritis (excl spine),M16.6,Other secondary coxarthrosis, bilateral
Osteoarthritis (excl spine),M16.7,Other secondary coxarthrosis
Osteoarthritis (excl spine),M16.9,Coxarthrosis, unspecified
Osteoarthritis (excl spine),M17,Gonarthrosis [arthrosis of knee]
Osteoarthritis (excl spine),M17.0,Primary gonarthrosis, bilateral
Osteoarthritis (excl spine),M17.1,Other primary gonarthrosis
Osteoarthritis (excl spine),M17.4,Other secondary gonarthrosis, bilateral
Osteoarthritis (excl spine),M17.5,Other secondary gonarthrosis
Osteoarthritis (excl spine),M17.9,Gonarthrosis, unspecified
Osteoarthritis (excl spine),M18,Arthrosis of first carpometacarpal joint
Osteoarthritis (excl spine),M18.0,Primary arthrosis of first carpometacarpal joints, bilateral
Osteoarthritis (excl spine),M18.1,Other primary arthrosis of first carpometacarpal joint
Osteoarthritis (excl spine),M18.9,Arthrosis of first carpometacarpal joint, unspecified
Osteoarthritis (excl spine),M19,Other arthrosis
Osteoarthritis (excl spine),M19.0,Primary arthrosis of other joints
Osteoarthritis (excl spine),M19.2,Other secondary arthrosis
Osteoarthritis (excl spine),M19.8,Other specified arthrosis
Osteoarthritis (excl spine),M19.9,Arthrosis, unspecified
Osteoarthritis (excl spine),M47.9,Spondylosis, unspecified
Osteoporosis,M40.2,Other and unspecified kyphosis
Osteoporosis,M80,Osteoporosis with pathological fracture
Osteoporosis,M80.0,Postmenopausal osteoporosis with pathological fracture
Osteoporosis,M80.1,Postoophorectomy osteoporosis with pathological fracture
Osteoporosis,M80.2,Osteoporosis of disuse with pathological fracture
Osteoporosis,M80.4,Drug-induced osteoporosis with pathological fracture
Osteoporosis,M80.5,Idiopathic osteoporosis with pathological fracture
Osteoporosis,M80.8,Other osteoporosis with pathological fracture
Osteoporosis,M80.9,Unspecified osteoporosis with pathological fracture
Osteoporosis,M81,Osteoporosis without pathological fracture
Osteoporosis,M81.0,Postmenopausal osteoporosis
Osteoporosis,M81.1,Postoophorectomy osteoporosis
Osteoporosis,M81.2,Osteoporosis of disuse
Osteoporosis,M81.3,Postsurgical malabsorption osteoporosis
Osteoporosis,M81.4,Drug-induced osteoporosis
Osteoporosis,M81.5,Idiopathic osteoporosis
Osteoporosis,M81.6,Localized osteoporosis [Lequesne]
Osteoporosis,M81.8,Other osteoporosis
Osteoporosis,M81.9,Osteoporosis, unspecified
Osteoporosis,M82,Osteoporosis in diseases classified elsewhere
Osteoporosis,M84.4,Pathological fracture, not elsewhere classified
Other anaemias,D46.4,Refractory anaemia, unspecified
Other anaemias,D53,Other nutritional anaemias
Other anaemias,D53.0,Protein deficiency anaemia
Other anaemias,D53.1,Other megaloblastic anaemias, not elsewhere classified
Other anaemias,D53.2,Scorbutic anaemia
Other anaemias,D53.8,Other specified nutritional anaemias
Other anaemias,D53.9,Nutritional anaemia, unspecified
Other anaemias,D56.1,Beta thalassaemia
Other anaemias,D56.3,Thalassaemia trait
Other anaemias,D56.9,Thalassaemia, unspecified
Other anaemias,D62,Acute posthaemorrhagic anaemia
Other anaemias,D63,Anaemia in chronic diseases classified elsewhere
Other anaemias,D64,Other anaemias
Other anaemias,D64.0,Hereditary sideroblastic anaemia
Other anaemias,D64.1,Secondary sideroblastic anaemia due to disease
Other anaemias,D64.2,Secondary sideroblastic anaemia due to drugs and toxins
Other anaemias,D64.3,Other sideroblastic anaemias
Other anaemias,D64.4,Congenital dyserythropoietic anaemia
Other anaemias,D64.8,Other specified anaemias
Other anaemias,D64.9,Anaemia, unspecified
Other anaemias,E79.8,Other disorders of purine and pyrimidine metabolism
Other anaemias,P61.4,Other congenital anaemias, not elsewhere classified
Other haemolytic anaemias,D55,Anaemia due to enzyme disorders
Other haemolytic anaemias,D55.0,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
Other haemolytic anaemias,D55.1,Anaemia due to other disorders of glutathione metabolism
Other haemolytic anaemias,D55.2,Anaemia due to disorders of glycolytic enzymes
Other haemolytic anaemias,D55.3,Anaemia due to disorders of nucleotide metabolism
Other haemolytic anaemias,D55.9,Anaemia due to enzyme disorder, unspecified
Other haemolytic anaemias,D56.0,Alpha thalassaemia
Other haemolytic anaemias,D56.4,Hereditary persistence of fetal haemoglobin [HPFH]
Other haemolytic anaemias,D58,Other hereditary haemolytic anaemias
Other haemolytic anaemias,D58.0,Hereditary spherocytosis
Other haemolytic anaemias,D58.1,Hereditary elliptocytosis
Other haemolytic anaemias,D58.2,Other haemoglobinopathies
Other haemolytic anaemias,D58.8,Other specified hereditary haemolytic anaemias
Other haemolytic anaemias,D58.9,Hereditary haemolytic anaemia, unspecified
Other haemolytic anaemias,D59,Acquired haemolytic anaemia
Other haemolytic anaemias,D59.0,Drug-induced autoimmune haemolytic anaemia
Other haemolytic anaemias,D59.1,Other autoimmune haemolytic anaemias
Other haemolytic anaemias,D59.2,Drug-induced nonautoimmune haemolytic anaemia
Other haemolytic anaemias,D59.3,Haemolytic-uraemic syndrome
Other haemolytic anaemias,D59.4,Other nonautoimmune haemolytic anaemias
Other haemolytic anaemias,D59.5,Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]
Other haemolytic anaemias,D59.6,Haemoglobinuria due to haemolysis from other external causes
Other haemolytic anaemias,D59.8,Other acquired haemolytic anaemias
Other haemolytic anaemias,D59.9,Acquired haemolytic anaemia, unspecified
Other interstitial pulmonary diseases with fibrosis,A16.2,Tuberculosis of lung, without mention of bacteriological or histological confirmation
Other interstitial pulmonary diseases with fibrosis,J63.1,Bauxite fibrosis (of lung)
Other interstitial pulmonary diseases with fibrosis,J63.3,Graphite fibrosis (of lung)
Other interstitial pulmonary diseases with fibrosis,J67.8,Hypersensitivity pneumonitis due to other organic dusts
Other interstitial pulmonary diseases with fibrosis,J69.8,Pneumonitis due to other solids and liquids
Other interstitial pulmonary diseases with fibrosis,J70.1,Chronic and other pulmonary manifestations due to radiation
Other interstitial pulmonary diseases with fibrosis,J70.3,Chronic drug-induced interstitial lung disorders
Other interstitial pulmonary diseases with fibrosis,J84.1,Other interstitial pulmonary diseases with fibrosis
Other psychoactive substance misuse,F11,Mental and behavioural disorders due to use of opioids
Other psychoactive substance misuse,F11.2,Mental and behavioural disorders due to use of opioids dependence syndrome
Other psychoactive substance misuse,F11.3,Mental and behavioural disorders due to use of opioids withdrawal state
Other psychoactive substance misuse,F12,Mental and behavioural disorders due to use of cannabinoids
Other psychoactive substance misuse,F12.2,Mental and behavioural disorders due to use of cannabinoids dependence syndrome
Other psychoactive substance misuse,F13,Mental and behavioural disorders due to use of sedatives or hypnotics
Other psychoactive substance misuse,F13.2,Mental and behavioural disorders due to use of sedatives or hypnotics dependence syndrome
Other psychoactive substance misuse,F14,Mental and behavioural disorders due to use of cocaine
Other psychoactive substance misuse,F14.2,Mental and behavioural disorders due to use of cocaine dependence syndrome
Other psychoactive substance misuse,F15,Mental and behavioural disorders due to use of other stimulants
Other psychoactive substance misuse,F15.2,Mental and behavioural disorders due to use of other stimulants, including caffeine dependence syndrome
Other psychoactive substance misuse,F16,Mental and behavioural disorders due to use of hallucinogens
Other psychoactive substance misuse,F16.2,Mental and behavioural disorders due to use of hallucinogens dependence syndrome
Other psychoactive substance misuse,F16.7,Mental and behavioural disorders due to use of hallucinogens residual and late-onset psychotic disorder
Other psychoactive substance misuse,F18,Mental and behavioural disorders due to use of volatile solvents
Other psychoactive substance misuse,F18.2,Mental and behavioural disorders due to use of volatile solvents dependence syndrome
Other psychoactive substance misuse,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances
Other psychoactive substance misuse,F19.2,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances dependence syndrome
Other psychoactive substance misuse,O99.3,Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium
Other psychoactive substance misuse,T40.1,Poisoning: Heroin
Other psychoactive substance misuse,T40.2,Poisoning: Other opioids
Other psychoactive substance misuse,T40.5,Poisoning: Cocaine
Other psychoactive substance misuse,T40.7,Poisoning: Cannabis (derivatives)
Other psychoactive substance misuse,T43.6,Poisoning: Psychostimulants with abuse potential
Other psychoactive substance misuse,X42,Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified
Other psychoactive substance misuse,X62,Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified
Other psychoactive substance misuse,Y45.0,Opioids and related analgesics
Other psychoactive substance misuse,Y46.3,Deoxybarbiturates
Other psychoactive substance misuse,Z71.5,Drug abuse counselling and surveillance
Other psychoactive substance misuse,Z86.4,Personal history of psychoactive substance abuse
Pancreatitis,K85,Acute pancreatitis
Pancreatitis,K85.0,Idiopathic acute pancreatitis
Pancreatitis,K85.1,Biliary acute pancreatitis
Pancreatitis,K85.2,Alcohol-induced acute pancreatitis
Pancreatitis,K85.3,Drug-induced acute pancreatitis
Pancreatitis,K85.8,Other acute pancreatitis
Pancreatitis,K85.9,Acute pancreatitis, unspecified
Pancreatitis,K86.0,Alcohol-induced chronic pancreatitis
Pancreatitis,K86.1,Other chronic pancreatitis
Pancreatitis,K86.3,Pseudocyst of pancreas
Parkinson's disease,F02.3,Dementia in Parkinson's disease
Parkinson's disease,G20,Parkinson's disease
Peptic ulcer disease,K22.1,Ulcer of oesophagus
Peptic ulcer disease,K25,Gastric ulcer
Peptic ulcer disease,K25,Gastric ulcer
Peptic ulcer disease,K25.0,Gastric ulcer acute with haemorrhage
Peptic ulcer disease,K25.1,Gastric ulcer acute with perforation
Peptic ulcer disease,K25.2,Gastric ulcer acute with both haemorrhage and perforation
Peptic ulcer disease,K25.3,Gastric ulcer acute without haemorrhage or perforation
Peptic ulcer disease,K25.4,Gastric ulcer chronic or unspecified with haemorrhage
Peptic ulcer disease,K25.5,Gastric ulcer chronic or unspecified with perforation
Peptic ulcer disease,K25.6,Gastric ulcer chronic or unspecified with both haemorrhage and perforation
Peptic ulcer disease,K25.7,Gastric ulcer chronic without haemorrhage or perforation
Peptic ulcer disease,K25.9,Gastric ulcer unspecified as acute or chronic, without haemorrhage or perforation
Peptic ulcer disease,K26,Duodenal ulcer
Peptic ulcer disease,K26,Duodenal ulcer
Peptic ulcer disease,K26.0,Duodenal ulcer acute with haemorrhage
Peptic ulcer disease,K26.1,Duodenal ulcer acute with perforation
Peptic ulcer disease,K26.2,Duodenal ulcer acute with both haemorrhage and perforation
Peptic ulcer disease,K26.3,Duodenal ulcer acute without haemorrhage or perforation
Peptic ulcer disease,K26.4,Duodenal ulcer chronic or unspecified with haemorrhage
Peptic ulcer disease,K26.5,Duodenal ulcer chronic or unspecified with perforation
Peptic ulcer disease,K26.6,Duodenal ulcer chronic or unspecified with both haemorrhage and perforation
Peptic ulcer disease,K26.7,Duodenal ulcer chronic without haemorrhage or perforation
Peptic ulcer disease,K26.9,Duodenal ulcer unspecified as acute or chronic, without haemorrhage or perforation
Peptic ulcer disease,K27,Peptic ulcer
Peptic ulcer disease,K27.0,Peptic ulcer, site unspecified acute with haemorrhage
Peptic ulcer disease,K27.1,Peptic ulcer, site unspecified acute with perforation
Peptic ulcer disease,K27.2,Peptic ulcer, site unspecified acute with both haemorrhage and perforation
Peptic ulcer disease,K27.3,Peptic ulcer, site unspecified acute without haemorrhage or perforation
Peptic ulcer disease,K27.4,Peptic ulcer, site unspecified chronic or unspecified with haemorrhage
Peptic ulcer disease,K27.5,Peptic ulcer, site unspecified chronic or unspecified with perforation
Peptic ulcer disease,K27.6,Peptic ulcer, site unspecified chronic or unspecified with both haemorrhage and perforation
Peptic ulcer disease,K27.7,Peptic ulcer, site unspecified chronic without haemorrhage or perforation
Peptic ulcer disease,K27.9,Peptic ulcer, site unspecified unspecified as acute or chronic, without haemorrhage or perforation
Peptic ulcer disease,K28,Gastrojejunal ulcer
Peptic ulcer disease,K28,Gastrojejunal ulcer
Peptic ulcer disease,K28.0,Gastrojejunal ulcer acute with haemorrhage
Peptic ulcer disease,K28.1,Gastrojejunal ulcer acute with perforation
Peptic ulcer disease,K28.2,Gastrojejunal ulcer acute with both haemorrhage and perforation
Peptic ulcer disease,K28.3,Gastrojejunal ulcer acute without haemorrhage or perforation
Peptic ulcer disease,K28.4,Gastrojejunal ulcer chronic or unspecified with haemorrhage
Peptic ulcer disease,K28.5,Gastrojejunal ulcer chronic or unspecified with perforation
Peptic ulcer disease,K28.6,Gastrojejunal ulcer chronic or unspecified with both haemorrhage and perforation
Peptic ulcer disease,K28.7,Gastrojejunal ulcer chronic without haemorrhage or perforation
Peptic ulcer disease,K28.9,Gastrojejunal ulcer unspecified as acute or chronic, without haemorrhage or perforation
Peripheral arterial disease,A48.0,Gas gangrene
Peripheral arterial disease,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Peripheral arterial disease,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Peripheral arterial disease,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Peripheral arterial disease,I70.0,Atherosclerosis of aorta
Peripheral arterial disease,I70.2,Atherosclerosis of arteries of extremities
Peripheral arterial disease,I73,Other peripheral vascular diseases
Peripheral arterial disease,I73.1,Thromboangiitis obliterans [Buerger]
Peripheral arterial disease,I73.8,Other specified peripheral vascular diseases
Peripheral arterial disease,I73.9,Peripheral vascular disease, unspecified
Peripheral arterial disease,I731,Thromboangiitis obliterans [Buerger]
Peripheral arterial disease,I738,Other specified peripheral vascular diseases
Peripheral arterial disease,I739,Peripheral vascular disease
Peripheral arterial disease,I74.3,Embolism and thrombosis of arteries of lower extremities
Peripheral arterial disease,I74.4,Embolism and thrombosis of arteries of extremities, unspecified
Peripheral arterial disease,I74.5,Embolism and thrombosis of iliac artery
Peripheral arterial disease,I743,Embolism and thrombosis of arteries of lower extremities
Peripheral arterial disease,I744,Embolism and thrombosis of arteries of extremities
Peripheral arterial disease,I745,Embolism and thrombosis of iliac artery
Peripheral arterial disease,R02,Gangrene, not elsewhere classified
Peripheral venous and lymphatic disease,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Peripheral venous and lymphatic disease,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Peripheral venous and lymphatic disease,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Peripheral venous and lymphatic disease,I78.0,Hereditary haemorrhagic telangiectasia
Peripheral venous and lymphatic disease,I80.1,Phlebitis and thrombophlebitis of femoral vein
Peripheral venous and lymphatic disease,I83,Varicose veins of lower extremities
Peripheral venous and lymphatic disease,I83.0,Varicose veins of lower extremities with ulcer
Peripheral venous and lymphatic disease,I83.1,Varicose veins of lower extremities with inflammation
Peripheral venous and lymphatic disease,I83.2,Varicose veins of lower extremities with both ulcer and inflammation
Peripheral venous and lymphatic disease,I83.9,Varicose veins of lower extremities without ulcer or inflammation
Peripheral venous and lymphatic disease,I86,Varicose veins of other sites
Peripheral venous and lymphatic disease,I86.8,Varicose veins of other specified sites
Peripheral venous and lymphatic disease,I87,Other disorders of veins
Peripheral venous and lymphatic disease,I87.0,Postthrombotic syndrome
Peripheral venous and lymphatic disease,I87.1,Compression of vein
Peripheral venous and lymphatic disease,I87.2,Venous insufficiency (chronic)(peripheral)
Peripheral venous and lymphatic disease,I87.8,Other specified disorders of veins
Peripheral venous and lymphatic disease,I87.9,Disorder of vein, unspecified
Peripheral venous and lymphatic disease,I89,Other noninfective disorders of lymphatic vessels and lymph nodes
Peripheral venous and lymphatic disease,I89.0,Lymphoedema, not elsewhere classified
Peripheral venous and lymphatic disease,I89.1,Lymphangitis
Peripheral venous and lymphatic disease,I89.8,Other specified noninfective disorders of lymphatic vessels and lymph nodes
Peripheral venous and lymphatic disease,I89.9,Noninfective disorder of lymphatic vessels and lymph nodes, unspecified
Peripheral venous and lymphatic disease,I97.2,Postmastectomy lymphoedema syndrome
Peripheral venous and lymphatic disease,K75.1,Phlebitis of portal vein
Peripheral venous and lymphatic disease,O22.0,Varicose veins of lower extremity in pregnancy
Peripheral venous and lymphatic disease,O22.9,Venous complication in pregnancy, unspecified
Peripheral venous and lymphatic disease,O87.8,Other venous complications in the puerperium
Peripheral venous and lymphatic disease,Q26,Congenital malformations of great veins
