Condition,ReadCode,MedCodeId,ReadTerm
Heart valve disease non-rheumatic,G541.00,488521000006118,Aortic valve disease
Heart valve disease non-rheumatic,G541000,299985016,"Aortic incompetence, non-rheumatic"
Heart valve disease non-rheumatic,G541011,299987012,"Aortic insufficiency, non-rheumatic"
Heart valve disease non-rheumatic,G541012,299986015,"Aortic regurgitation, non-rheumatic"
Heart valve disease non-rheumatic,G541100,299988019,"Aortic stenosis, non-rheumatic"
Heart valve disease non-rheumatic,G541200,299989010,Aortic valve regurgitation
Heart valve disease non-rheumatic,G541211,1222314017,"Aortic insufficiency alone, cause unspecified"
Heart valve disease non-rheumatic,G541212,1222315016,"Aortic regurgitation alone, cause unspecified"
Heart valve disease non-rheumatic,G541300,299990018,Aortic valve stenosis
Heart valve disease non-rheumatic,G541400,299991019,Aortic valve stenosis with insufficiency
Heart valve disease non-rheumatic,G541500,1232103019,Aortic valve stenosis
Heart valve disease non-rheumatic,G541600,112523010,Aortic valve sclerosis
Heart valve disease non-rheumatic,G541700,374104011,Aortic valve calcification
Heart valve disease non-rheumatic,G541z00,299992014,Aortic valve disorder
Heart valve disease non-rheumatic,G542.00,299993016,"Tricuspid valve disorders, non-rheumatic"
Heart valve disease non-rheumatic,G542000,299994010,"Tricuspid incompetence, non-rheumatic"
Heart valve disease non-rheumatic,G542011,299995011,"Tricuspid insufficiency, non-rheumatic"
Heart valve disease non-rheumatic,G542012,299996012,"Tricuspid regurgitation, non-rheumatic"
Heart valve disease non-rheumatic,G542100,299997015,"Tricuspid stenosis, non-rheumatic"
Heart valve disease non-rheumatic,G542200,297501000006112,Nonrheumatic tricuspid valve stenosis with insufficiency
Heart valve disease non-rheumatic,G542X00,297491000006116,"Nonrheumatic tricuspid valve disorder, unspecified"
Heart valve disease non-rheumatic,G542z00,300000019,Tricuspid valve disorders NOS
Heart valve disease non-rheumatic,G544.00,694371000006117,Multiple valve diseases
Heart valve disease non-rheumatic,G544000,300014019,Disorders of both aortic and tricuspid valves
Heart valve disease non-rheumatic,G544100,300015018,Disorders of both mitral and tricuspid valves
Heart valve disease non-rheumatic,G544200,300016017,"Combined disorders of mitral, aortic and tricuspid valves"
Heart valve disease non-rheumatic,G544X00,694361000006112,"Multiple valve disease, unspecified"
Heart valve disease non-rheumatic,Gyu1000,300863016,[X]Other mitral valve diseases
Heart valve disease non-rheumatic,Gyu1100,300864010,[X]Other rheumatic aortic valve diseases
Heart valve disease non-rheumatic,Gyu1200,300865011,[X]Other tricuspid valve diseases
Heart valve disease non-rheumatic,Gyu5500,412241000006110,[X]Other nonrheumatic mitral valve disorders
Heart valve disease non-rheumatic,Gyu5600,300893010,[X]Other aortic valve disorders
Heart valve disease non-rheumatic,Gyu5A00,300897011,[X]Aortic valve disorders in diseases classified elsewhere
Heart valve disease non-rheumatic,Gyu5B00,429571000006116,Tricuspid valve disorder
Heart valve disease non-rheumatic,Gyu5D00,399141000006119,[X]Multiple valve disorders/diseases CE
Hidradenitis suppurativa,M25y100,115847018,Hidradenitis
Hidradenitis suppurativa,M25y111,98642019,Hidradenitis suppurativa
HIV,43C3.11,257855012,HIV positive
HIV,43w3.00,1540131000006112,HIV (human immunodeficiency virus) ribonucleic acid/deoxyribonucleic acid ratio
HIV,4J34.00,459601018,HIV (human immunodeficiency virus) viral load
HIV,4J3F.00,603931000000114,Human immunodeficiency virus viral load by log rank
HIV,4J3N.00,2376041000000113,HIV (human immunodeficiency virus) drug resistance test
HIV,4J3P.00,1924211000006112,Human immunodeficiency virus type 1 subtype identification
HIV,65QA.00,264371011,Human immunodeficiency virus carrier
HIV,65VE.00,264418012,Notification of AIDS
HIV,66j..00,1121571000000111,Human immunodeficiency virus monitoring
HIV,66j0.00,1121631000000110,Human immunodeficiency virus annual review
HIV,7Q05600,749871000000118,Antiretroviral drugs Band 1
HIV,8Hle.00,1812841000006118,Referral to community human immunodeficiency virus nurse specialist
HIV,9kl..00,1715721000006111,Human immunodeficiency virus positive general health check service declined
HIV,9kl..11,1741791000006119,HIV positive general health check service declined
HIV,9mN..00,2302501000000114,Human immunodeficiency virus infection monitoring invitation
HIV,9mN0.00,1907831000006117,Human immunodeficiency virus infection monitoring telephone invitation
HIV,9mN0000,1907841000006110,Human immunodeficiency virus infection monitoring first telephone invitation
HIV,9mN0100,1907851000006112,Human immunodeficiency virus infection monitoring second telephone invitation
HIV,9mN0200,1907861000006114,Human immunodeficiency virus infection monitoring third telephone invitation
HIV,9Nt1000,2229631000000112,Seen by community HIV (human immunodeficiency virus) nurse
HIV,A788.00,103844015,Acquired immune deficiency syndrome
HIV,A788.11,143288017,Human immunodeficiency virus infection
HIV,A788000,365853018,Acute HIV infection
HIV,A788100,152322017,Asymptomatic human immunodeficiency virus infection
HIV,A788200,825871000006111,Human immunodeficiency virus infection with persistent generalised lymphadenopathy
HIV,A788300,829181000006115,Human immunodeficiency virus with constitutional disease
HIV,A788400,287012016,Human immunodeficiency virus with neurological disease
HIV,A788500,829221000006112,Human immunodeficiency virus infection with secondary clinical infectious disease
HIV,A788600,287014015,Malignant neoplastic disease co-occurrent with human immunodeficiency virus infection
HIV,A788U00,825731000006117,"HIV disease result/haematological+immunologic abnorms,NEC"
HIV,A788V00,825791000006118,HIV disease resulting in multiple diseases CE
HIV,A788W00,825841000006115,HIV disease resulting in unspecified malignant neoplasm
HIV,A788X00,825861000006116,HIV disease resulting/unspcf infectious+parasitic disease
HIV,A788y00,287020019,Human immunodeficiency virus with other clinical findings
HIV,A788z00,287021015,Acquired human immunodeficiency virus infection syndrome NOS
HIV,A789.00,287022010,Symptomatic human immunodeficiency virus infection
HIV,A789000,287023017,Mycobacteriosis associated with AIDS
HIV,A789100,287024011,HIV disease resulting in cytomegaloviral disease
HIV,A789200,287025012,HIV disease resulting in candidiasis
HIV,A789300,825831000006113,Pneumocystosis associated with AIDS
HIV,A789311,1814921000006112,HIV disease resulting in Pneumocystis jirovecii pneumonia
HIV,A789400,287027016,HIV disease resulting in multiple infections
HIV,A789500,825771000006119,Kaposi's sarcoma associated with AIDS
HIV,A789511,1814931000006110,HIV disease resulting in Kaposi sarcoma
HIV,A789600,287029018,Burkitt lymphoma co-occurrent with human immunodeficiency virus infection
HIV,A789611,2168331000000117,HIV disease resulting in Burkitt lymphoma
HIV,A789700,825721000006115,Non-Hodgkin lymphoma associated with Human immunodeficiency virus infection
HIV,A789711,1814951000006115,HIV disease resulting in other types of non-Hodgkin lymphoma
HIV,A789800,287031010,HIV disease resulting in multiple malignant neoplasms
HIV,A789900,287032015,HIV disease resulting in lymphoid interstitial pneumonitis
HIV,A789A00,2622348012,HIV disease resulting in wasting syndrome
HIV,A789X00,825711000006111,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu"
HIV,AyuC.00,288173019,[X]Human immunodeficiency virus disease
HIV,AyuC000,288174013,[X]HIV disease resulting in other bacterial infections
HIV,AyuC100,288177018,[X]HIV disease resulting in other viral infections
HIV,AyuC200,288178011,[X]HIV disease resulting in other mycoses
HIV,AyuC300,389021000006114,[X]HIV disease resulting in multiple infections
HIV,AyuC400,389101000006117,[X]HIV disease resulting/other infectious+parasitic diseases
HIV,AyuC500,389111000006119,[X]HIV disease resulting/unspcf infectious+parasitic disease
HIV,AyuC600,288182013,[X]HIV disease resulting in other non-Hodgkin's lymphoma
HIV,AyuC611,1815001000006119,[X]HIV disease resulting in other non-Hodgkin lymphoma
HIV,AyuC700,388991000006116,"[X]HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu"
HIV,AyuC800,288185010,Malignant neoplastic disease co-occurrent with human immunodeficiency virus infection
HIV,AyuC900,288186011,[X]HIV disease resulting in unspecified malignant neoplasm
HIV,AyuCA00,389011000006118,[X]HIV disease resulting in multiple diseases classified elsewhere
HIV,AyuCB00,389001000006116,HIV (human immunodeficiency virus) disease resulting in haematological and immunological abnormalities
HIV,AyuCC00,288190013,[X]HIV disease resulting in other specified conditions
HIV,AyuCD00,288191012,[X]Unspecified human immunodeficiency virus [HIV] disease
HIV,Eu02400,376571000006116,[X]Dementia in human immunodef virus [HIV] disease
HIV,L179.00,1816791000006117,HIV disease complicating pregnancy childbirth puerperium
HIV,R109.00,317670010,[D]Laboratory evidence of human immunodeficiency virus [HIV]
HIV,ZV01A00,337231000006117,[V]Asymptomatic human immunodeficiency virus infection status
HIV,ZV6D400,461110013,Human immunodeficiency virus counselling
Hodgkin Lymphoma,B61..00,2663473018,Hodgkin's disease
Hodgkin Lymphoma,B61..11,1815031000006110,Hodgkin lymphoma
Hodgkin Lymphoma,B610.00,826681000006115,"Hodgkin lymphoma, nodular lymphocyte predominance (clinical)"
Hodgkin Lymphoma,B610100,826751000006118,"Hodgkin's paragranuloma of lymph nodes of head, face, and neck"
Hodgkin Lymphoma,B610300,289621011,Hodgkin's paragranuloma of intra-abdominal lymph nodes
Hodgkin Lymphoma,B611.00,2663476014,Hodgkin's granuloma
Hodgkin Lymphoma,B611100,289629013,"Hodgkin's granuloma of lymph nodes of head, face and neck"
Hodgkin Lymphoma,B612.00,2663376010,Hodgkin's sarcoma
Hodgkin Lymphoma,B612400,289643015,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
Hodgkin Lymphoma,B613.00,826261000006110,"Hodgkin's disease, lymphocytic-histiocytic predominance"
Hodgkin Lymphoma,B613000,826991000006114,"Hodgkin's disease, lymphocytic-histiocytic predominance (clinical)"
Hodgkin Lymphoma,B613100,826951000006115,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck"
Hodgkin Lymphoma,B613200,826941000006117,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes"
Hodgkin Lymphoma,B613300,826921000006112,"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes"
Hodgkin Lymphoma,B613500,826911000006116,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region and lower limb"
Hodgkin Lymphoma,B613600,826931000006110,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes"
Hodgkin Lymphoma,B613700,289657018,"Hodgkin's disease, lymphocytic-histiocytic predominance of spleen"
Hodgkin Lymphoma,B613800,826961000006118,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites"
Hodgkin Lymphoma,B613z00,289659015,"Hodgkin's, lymphocytic-histiocytic predominance NOS"
Hodgkin Lymphoma,B614.00,1220414014,"Hodgkin's disease, nodular sclerosis"
Hodgkin Lymphoma,B614000,289660013,"Hodgkin's disease, nodular sclerosis of unspecified site"
Hodgkin Lymphoma,B614100,826611000006110,"Hodgkin's disease, nodular sclerosis of lymph nodes of head, face and neck"
Hodgkin Lymphoma,B614200,826651000006111,"Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes"
Hodgkin Lymphoma,B614300,826631000006116,"Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes"
Hodgkin Lymphoma,B614400,826661000006113,"Hodgkin's disease, nodular sclerosis of lymph nodes of axilla and upper limb"
Hodgkin Lymphoma,B614700,154811011,"Hodgkin's disease, nodular sclerosis of spleen"
Hodgkin Lymphoma,B614800,826671000006118,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites"
Hodgkin Lymphoma,B614z00,289669014,"Hodgkin's disease, nodular sclerosis NOS"
Hodgkin Lymphoma,B615.00,2663461018,"Hodgkin's disease, mixed cellularity"
Hodgkin Lymphoma,B615000,289670010,"Hodgkin's disease, mixed cellularity of unspecified site"
Hodgkin Lymphoma,B615100,826571000006117,"Hodgkin's disease, mixed cellularity of lymph nodes of head, face and neck"
Hodgkin Lymphoma,B615200,826561000006112,"Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes"
Hodgkin Lymphoma,B615500,826581000006119,"Hodgkin's disease, mixed cellularity of lymph nodes of inguinal region and lower limb"
Hodgkin Lymphoma,B615z00,289679011,"Hodgkin's disease, mixed cellularity NOS"
Hodgkin Lymphoma,B616.00,2663187010,"Hodgkin's disease, lymphocytic depletion"
Hodgkin Lymphoma,B616000,289680014,Hodgkin's lymphocytic depletion of unspecified site
Hodgkin Lymphoma,B616400,826471000006116,"Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla and upper limb"
Hodgkin Lymphoma,B616500,826481000006118,"Hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region and lower limb"
Hodgkin Lymphoma,B616700,289699017,"Hodgkin's disease, lymphocytic depletion of spleen"
Hodgkin Lymphoma,B616800,826491000006115,"Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites"
Hodgkin Lymphoma,B616z00,289701017,"Hodgkin's disease, lymphocytic depletion NOS"
Hodgkin Lymphoma,B617.00,2168431000000112,"Hodgkin lymphoma, nodular lymphocyte predominance (clinical)"
Hodgkin Lymphoma,B618.00,1815051000006115,Nodular sclerosis classical Hodgkin lymphoma
Hodgkin Lymphoma,B619.00,1815061000006118,Mixed cellularity classical Hodgkin lymphoma
Hodgkin Lymphoma,B61B.00,2870724014,Lymphocyte-rich classical Hodgkin lymphoma
Hodgkin Lymphoma,B61C.00,1815091000006114,Other classical Hodgkin lymphoma
Hodgkin Lymphoma,B61z.00,826121000006114,Hodgkin's disease NOS
Hodgkin Lymphoma,B61z.11,1815101000006115,Hodgkin's disease (clinical)
Hodgkin Lymphoma,B61z000,289703019,"Hodgkin's disease NOS, unspecified site"
Hodgkin Lymphoma,B61z100,289704013,"Hodgkin's disease of lymph nodes of head, face AND/OR neck"
Hodgkin Lymphoma,B61z200,289705014,Hodgkin's disease of intrathoracic lymph nodes
Hodgkin Lymphoma,B61z300,289706010,Hodgkin's disease of intra-abdominal lymph nodes
Hodgkin Lymphoma,B61z400,826181000006113,Hodgkin's disease of lymph nodes of axilla AND/OR upper limb
Hodgkin Lymphoma,B61z500,826171000006110,Hodgkin's disease of lymph nodes of inguinal region AND/OR lower limb
Hodgkin Lymphoma,B61z700,289710013,Hodgkin's disease of spleen
Hodgkin Lymphoma,B61z800,289711012,Hodgkin's disease of lymph nodes of multiple sites
Hodgkin Lymphoma,B61zz00,289702012,Hodgkin's disease NOS
Hodgkin Lymphoma,BBj..00,1221109014,[M]Hodgkin's disease
Hodgkin Lymphoma,BBj0.00,309991000006111,[M]Hodgkin's disease NOS
Hodgkin Lymphoma,BBj1.00,291931019,"[M]Hodgkin's disease, lymphocytic predominance"
Hodgkin Lymphoma,BBj1000,291932014,"Hodgkin lymphoma, lymphocyte-rich"
Hodgkin Lymphoma,BBj1100,1233285010,"[M]Hodgkin,s disease, lymphocytic predominance, nodular"
Hodgkin Lymphoma,BBj2.00,1229767019,"[M]Hodgkin's disease, mixed cellularity"
Hodgkin Lymphoma,BBj4.00,310071000006116,"[M]Hodgkin's disease, lymphocytic depletion, diffuse fibrosis"
Hodgkin Lymphoma,BBj6.00,215914013,"Hodgkin lymphoma, nodular sclerosis"
Hodgkin Lymphoma,BBj6000,310141000006111,"[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predominance"
Hodgkin Lymphoma,BBj6100,291933016,"Hodgkin lymphoma, nodular sclerosis, grade 1"
Hodgkin Lymphoma,BBj6200,310131000006118,"[M]Hodgkin's disease, nodular sclerosis, lymphocytic depletion"
Hodgkin Lymphoma,BBj7.00,1229491012,"[M]Hodgkin's disease, nodular sclerosis, cellular phase"
Hodgkin Lymphoma,BBj9.00,1233711012,[M]Hodgkin's granuloma
Hodgkin Lymphoma,BBjz.00,453326010,[M]Hodgkin's disease NOS
Hodgkin Lymphoma,ByuD000,292169014,[X]Other Hodgkin's disease
Hodgkin Lymphoma,ZV10711,1227575015,[V]Personal history of Hodgkin's disease
Hyperparathyroidism,711..11,219891000000119,Parathyroid gland operations
Hyperparathyroidism,7114.11,88639010,Parathyroidectomy
Hyperparathyroidism,7114200,246211000006119,Partial parathyroidectomy + parathyroid tissue transposition
Hyperparathyroidism,7114300,266356010,Subtotal parathyroidectomy
Hyperparathyroidism,7114400,266357018,Parathyroidectomy NEC
Hyperparathyroidism,7114y00,266358011,Other specified excision of parathyroid gland
Hyperparathyroidism,7115z00,266366019,Other operation on parathyroid gland NOS
Hyperparathyroidism,C120.00,111289013,Hyperparathyroidism
Hyperparathyroidism,C120.11,41211000006118,Osteitis fibrosa cystica
Hyperparathyroidism,C120.12,63791000006110,Von Recklinghausen's bone disease
Hyperparathyroidism,C120000,60663012,Primary hyperparathyroidism
Hyperparathyroidism,C120100,830981000006111,Osteitis fibrosa cystica generalisata
Hyperparathyroidism,C120111,140466019,Osteitis fibrosa cystica
Hyperparathyroidism,C120112,1234973018,von Recklinghausen's bone disease
Hyperparathyroidism,C120200,129770011,Tertiary hyperparathyroidism
Hyperparathyroidism,C1z3100,49080014,Ectopic hyperparathyroidism
Hyperparathyroidism,Cyu4100,293766019,[X]Other hyperparathyroidism
Hyperparathyroidism,K08y100,151534010,Secondary hyperparathyroidism
Hyperparathyroidism,N332500,312190010,Brown tumour of hyperparathyroidism
Hyperplasia of prostate,14E1.00,251774018,H/O: prostatism
Hyperplasia of prostate,1AA..00,203421000006110,Prostatism
Hyperplasia of prostate,K20..00,396738018,Benign prostatic hypertrophy
Hyperplasia of prostate,K20..14,645331000006112,Benign prostatic hyperplasia
Hyperplasia of prostate,K20..15,396742015,BPH - Benign prostatic hypertrophy
Hyperplasia of prostate,K20..16,19794011,Prostatism
Hyperplasia of prostate,K200.00,304382014,Hyperplasia of prostate
Hyperplasia of prostate,K201.00,304383016,Prostatic hyperplasia of the lateral lobe
Hyperplasia of prostate,K202.00,304384010,Prostatic hyperplasia of the medial lobe
Hyperplasia of prostate,K20z.00,304385011,Prostatic hyperplasia NOS
Hyperprolactinaemia and prolactinoma,4435100,258562011,Increased prolactin level
Hyperprolactinaemia and prolactinoma,BB5y400,1228164013,[M] Prolactinoma
Hyperprolactinaemia and prolactinoma,C131000,356195018,Hyperprolactinaemia
Hypertension,14A2.00,251674014,H/O: hypertension
Hypertension,2126100,790131000006118,Hypertension resolved
Hypertension,212K.00,253532015,Hypertension resolved
Hypertension,6146200,262960017,Hypertension induced by oral contraceptive pill
Hypertension,6624.00,264467014,Yearly observation of borderline hypertension
Hypertension,6627.00,264471012,Good hypertension control
Hypertension,6628.00,264472017,Poor hypertension control
Hypertension,662b.00,1780318013,Moderate hypertension control
Hypertension,662c.00,1780253016,Hypertension six month review
Hypertension,662d.00,1780319017,Hypertension annual review
Hypertension,662F.00,264485019,Treatment for hypertension started
Hypertension,662G.00,264486018,Hypertensive treatment changed
Hypertension,662O.00,443764015,On treatment for hypertension
Hypertension,662r.00,530221000000112,Trial withdrawal of antihypertensive therapy
Hypertension,7Q01.00,350601000000116,High cost hypertension drugs
Hypertension,8B26.00,451424017,Antihypertensive therapy
Hypertension,8BL0.00,2159168015,Patient on maximal tolerated antihypertensive therapy
Hypertension,8I3N.00,1780252014,Hypertension treatment refused
Hypertension,9OI9.00,789981000006111,Hypertens.monitor deleted
Hypertension,C151.13,589601000006111,Conn's syndrome
Hypertension,C151011,292776010,Conn's syndrome
Hypertension,F404200,1529013,Blind hypertensive eye
Hypertension,F421300,12496011,Hypertensive retinopathy
Hypertension,G2...00,64168014,Hypertensive disease
Hypertension,G2...11,523801000006119,BP - hypertensive disease
Hypertension,G20..00,99042012,Essential hypertension
Hypertension,G20..11,64172013,Elevated blood pressure
Hypertension,G200.00,131046010,Malignant essential hypertension
Hypertension,G201.00,3135013,Benign essential hypertension
Hypertension,G202.00,93494011,Systolic hypertension
Hypertension,G203.00,80224019,Diastolic hypertension
Hypertension,G20z.00,395751018,Essential hypertension NOS
Hypertension,G20z.11,790121000006116,Hypertension
Hypertension,G21..00,107545013,Hypertensive heart disease
Hypertension,G210.00,90135019,Malignant hypertensive heart disease
Hypertension,G210000,728681000006116,Malignant hypertensive heart disease without congestive heart failure
Hypertension,G210100,728671000006119,Malignant hypertensive heart disease with congestive cardiac failure
Hypertension,G211.00,60444016,Benign hypertensive heart disease
Hypertension,G211000,504911000006115,Benign hypertensive heart disease without CCF
Hypertension,G211100,504901000006118,Benign hypertensive heart disease with congestive cardiac failure
Hypertension,G21z.00,741661000006118,Hypertensive heart disease NOS
Hypertension,G21z000,741691000006114,Hypertensive heart disease NOS without CCF
Hypertension,G21z011,411508017,Cardiomegaly - hypertensive
Hypertension,G21z100,741681000006111,Hypertensive heart disease NOS with CCF
Hypertension,G21zz00,299655012,Hypertensive heart disease NOS
Hypertension,G22..00,64282015,Hypertensive renal disease
Hypertension,G220.00,108730018,Malignant hypertensive renal disease
Hypertension,G221.00,1409014,Benign hypertensive renal disease
Hypertension,G222.00,299665018,Hypertensive renal disease with renal failure
Hypertension,G22z.00,395753015,Hypertensive renal disease NOS
Hypertension,G22z.11,47076011,Renal hypertension
Hypertension,G23..00,143003017,Hypertensive heart AND renal disease
Hypertension,G230.00,110659019,Malignant hypertensive heart AND renal disease
Hypertension,G231.00,109700019,Benign hypertensive heart AND renal disease
Hypertension,G232.00,741701000006114,Hypertensive heart and renal disease with (congestive) heart failure
Hypertension,G233.00,299673010,Hypertensive heart and renal disease with renal failure
Hypertension,G234.00,789941000006117,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
Hypertension,G23z.00,299675015,Hypertensive heart and renal disease NOS
Hypertension,G24..00,53452019,Secondary hypertension
Hypertension,G240.00,151161000006115,Malignant secondary hypertension
Hypertension,G240000,299676019,Secondary malignant renovascular hypertension
Hypertension,G240z00,299677011,Secondary malignant hypertension NOS
Hypertension,G241.00,299678018,Secondary benign hypertension
Hypertension,G241000,2478822013,Secondary benign renovascular hypertension
Hypertension,G241z00,299680012,Benign secondary hypertension
Hypertension,G244.00,299681011,Hypertension secondary to endocrine disorders
Hypertension,G24z.00,158241000006117,Secondary hypertension NOS
Hypertension,G24z000,299683014,Renovascular hypertension
Hypertension,G24z100,299684015,Hypertension secondary to drug
Hypertension,G24zz00,299682016,Secondary hypertension NOS
Hypertension,G2y..00,299686018,Other specified hypertensive disease
Hypertension,G2z..00,299687010,Hypertensive disorder
Hypertension,G672.00,84111015,Hypertensive encephalopathy
Hypertension,G672.11,84112010,Hypertensive crisis
Hypertension,Gyu2.00,300869017,[X]Hypertensive diseases
Hypertension,Gyu2000,300870016,[X]Other secondary hypertension
Hypertension,Gyu2100,300871017,[X]Hypertension secondary to other renal disorders
Hypertension,L122.00,305764016,Other pre-existing hypertension in preg/childbirth/puerp
Hypertension,L122000,19451000006111,Other pre-existing hypertension in preg/childb/puerp unspec
Hypertension,L122100,19431000006116,Other pre-existing hypertension in preg/childb/puerp - deliv
Hypertension,L122300,19421000006119,Other pre-exist hypertension in preg/childb/puerp-not deliv
Hypertension,L122z00,19441000006114,Other pre-existing hypertension in preg/childb/puerp NOS
Hypertension,L127.00,305818015,Pre-eclampsia or eclampsia with pre-existing hypertension
Hypertension,L127z00,212961000006118,Pre-eclampsia or eclampsia + pre-existing hypertension NOS
Hypertension,L128.00,213111000006112,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium"
Hypertension,L128000,213091000006115,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"
Hypertension,L128200,213081000006118,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium"
Hypertension,TJC7.00,331291010,Adverse reaction to other antihypertensives
Hypertension,TJC7z00,331302012,Antihypertensive adverse reaction
Hypertension,U60C500,404471000006113,"[X]Oth antihyperten drug caus advers eff in therap use, NEC"
Hypertension,U60C511,356121000006111,[X] Adverse reaction to other antihypertensives
Hypertension,U60C51A,351481000006111,[X] Adverse reaction to antihypertensives NOS
Hypertrophic Cardiomyopathy,G551.00,75410014,Hypertrophic obstructive cardiomyopathy
Hypertrophic Cardiomyopathy,G554300,300038015,Hypertrophic non-obstructive cardiomyopathy
Hypertrophic Cardiomyopathy,Gyu5M00,300910013,Hypertrophic cardiomyopathy
Hypertrophy of nasal turbinates,H10..00,615841000006116,Acquired deviated nasal septum
Hypertrophy of nasal turbinates,H1y0.00,681901000006112,Hypertrophy of nasal turbinates
Hypopituitarism,7100.00,496407019,Excision of pituitary gland
Hypopituitarism,7100y00,266290016,Other specified excision of pituitary gland
Hypopituitarism,7100z00,410873011,Excision of pituitary gland NOS
Hypopituitarism,7101.00,505703019,Destruction of pituitary gland
Hypopituitarism,C132.00,54086011,Panhypopituitarism
Hypopituitarism,C132.11,356224019,Hypopituitarism
Hypopituitarism,C132.12,356227014,Sheehan's syndrome
Hypopituitarism,C132000,292709019,Idiopathic panhypopituitarism
Hypopituitarism,C132100,292710012,Post-birth injury panhypopituitarism
Hypopituitarism,C132200,211291000006112,Postinfarction panhypopituitarism
Hypopituitarism,C132300,211361000006114,Postinfective panhypopituitarism
Hypopituitarism,C132y00,292713014,Other specified panhypopituitarism
Hypopituitarism,C132z00,292714015,Panhypopituitarism NOS
Hypopituitarism,C133.00,492180012,Pituitary dwarfism
Hypopituitarism,C133000,721901000006110,Isolated growth hormone deficiency
Hypopituitarism,C133y00,398800015,Other specified pituitary dwarfism
Hypopituitarism,C133z00,292723017,Pituitary dwarfism NOS
Hypopituitarism,C134.00,292724011,Disorder of anterior pituitary
Hypopituitarism,C134300,88781000006119,TSH deficiency
Hypopituitarism,C134400,133724019,Isolated ACTH deficiency
Hypopituitarism,C134411,356242012,ACTH deficiency
Hypopituitarism,C134z11,356286019,Anterior pituitary hormone deficiency
Hypopituitarism,C135.12,494186019,Diabetes insipidus - pituitary
Hypopituitarism,C137.00,223331000000116,Iatrogenic pituitary disorder
Hypopituitarism,C137.11,356248011,Iatrogenic hypopituitarism
Hypopituitarism,C137000,6203011,Hormone-induced hypopituitarism
Hypopituitarism,C137100,508884019,Post-hypophysectomy hypopituitarism
Hypopituitarism,C137111,508883013,Surgically-induced hypopituitarism
Hypopituitarism,C137200,1221143017,Post-radiotherapy hypopituitarism
Hypopituitarism,C138.00,356276015,Empty sella syndrome
Hypopituitarism,C139.00,56637011,Hypogonadotropic hypogonadism
Hypopituitarism,C13A.00,356251016,Pituitary apoplexy
Hypopituitarism,C172111,510382019,Kallman's syndrome
Hypopituitarism,F395200,682681000006115,Myopathy due to hypopituitarism
Hypopituitarism,PK24100,315521018,Congenital absence of pituitary gland
Hyposplenism,14N7.00,811751000006115,H/O splenectomy
Hyposplenism,7840.00,270732017,Total excision of spleen
Hyposplenism,7840.11,98381000006117,Total splenectomy
Hyposplenism,7840100,270731012,Total splenectomy
Hyposplenism,7840300,270738018,Splenectomy
Hyposplenism,7840400,458412019,Laparoscopic total splenectomy
Hyposplenism,7840y00,270740011,Other specified total excision of spleen
Hyposplenism,7840z00,270741010,Total excision of spleen NOS
Hyposplenism,7841.00,270742015,Other excision of spleen
Hyposplenism,7841y00,270743013,Other specified other excision of spleen
Hyposplenism,7841z00,270744019,Other excision of spleen NOS
Hyposplenism,D415400,137496011,Splenic atrophy
Hyposplenism,D415600,93688010,Splenic fibrosis
Hyposplenism,D415700,38632019,Infarction of spleen
Hyposplenism,D415800,1229978015,Non-traumatic rupture of spleen
Hyposplenism,D415A00,39894011,Hyposplenism
Hyposplenism,PK01.00,222151000000115,Spleen absent
Hyposplenism,PK01.11,215631000000118,Asplenia
Hyposplenism,PK06.00,315505011,Hypoplasia of spleen
Immunodeficiencies,C390.00,398902012,Deficiencies of humoral immunity
Immunodeficiencies,C390.11,452781013,Agammaglobulinaemia
Immunodeficiencies,C390000,293658016,Hypogammaglobulinaemia
Immunodeficiencies,C390100,293660019,Selective IgA immunodeficiency
Immunodeficiencies,C390200,293662010,Selective IgM immunodeficiency
Immunodeficiencies,C390300,293665012,Selective IgG immunodeficiency
Immunodeficiencies,C390400,293666013,Selective immunoglobulin dysfunction
Immunodeficiencies,C390500,398903019,Congenital hypogammaglobulinaemia
