Disease,ICD10code,ICD10codeDescr,Category,OPCS4code,OPCS4codeDescr
Immunodeficiencies,D84.0,Lymphocyte function antigen-1 [LFA-1] defect,Diagnosis of Immunodeficiencies,NA,NA
Immunodeficiencies,D84.8,Other specified immunodeficiencies,Diagnosis of Immunodeficiencies,NA,NA
Immunodeficiencies,D84.9,"Immunodeficiency, unspecified",Diagnosis of Immunodeficiencies,NA,NA
Infection of bones and joints,A18.0,Tuberculosis of bones and joints,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,A54.4,Gonococcal infection of musculoskeletal system,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,B45.3,Osseous cryptococcosis,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,B67.2,Echinococcus granulosus infection of bone,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,B90.2,Sequelae of tuberculosis of bones and joints,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M00,Pyogenic arthritis,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M46.2,Osteomyelitis of vertebra,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M46.3,Infection of intervertebral disc (pyogenic),Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M46.4,"Discitis, unspecified",Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M46.5,Other infective spondylopathies,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M49.0,Tuberculosis of spine,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M49.1,Brucella spondylitis,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M49.2,Enterobacterial spondylitis,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M49.3,Spondylopathy in other infectious and parasitic diseases classified elsewhere,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M86,Osteomyelitis,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M90.0,Tuberculosis of bone,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M90.1,Periostitis in other infectious diseases classified elsewhere,Diagnosis of Infection of bones and joints,NA,NA
Infection of bones and joints,M90.2,Osteopathy in other infectious diseases classified elsewhere,Diagnosis of Infection of bones and joints,NA,NA
Intellectual disability,F70,Mild mental retardation,Diagnosis of Intellectual disability,NA,NA
Intellectual disability,F71,Moderate mental retardation,Diagnosis of Intellectual disability,NA,NA
Intellectual disability,F72,Severe mental retardation,Diagnosis of Intellectual disability,NA,NA
Intellectual disability,F73,Profound mental retardation,Diagnosis of Intellectual disability,NA,NA
Intellectual disability,F78,Other mental retardation,Diagnosis of Intellectual disability,NA,NA
Intellectual disability,F79,Unspecified mental retardation,Diagnosis of Intellectual disability,NA,NA
Intellectual disability,F81.9,"Developmental disorder of scholastic skills, unspecified",Diagnosis of Intellectual disability,NA,NA
Intervertebral disc disorders,M50,Cervical disc disorders,Diagnosis of Intervertebral disc disorders,NA,NA
Intervertebral disc disorders,M51,Other intervertebral disc disorders,Diagnosis of Intervertebral disc disorders,NA,NA
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29,Primary excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29.1,Primary laminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29.2,Primary hemilaminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29.3,Primary fenestration excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29.4,Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29.5,Primary anterior excision of cervical intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29.6,Primary microdiscectomy of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29.8,Other specified primary excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V29.9,Unspecified primary excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30,Revisional excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30.1,Revisional laminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30.2,Revisional hemilaminectomy excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30.3,Revisional fenestration excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30.4,Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30.5,Revisional anterior excision of cervical intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30.6,Revisional microdiscectomy of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30.8,Other specified revisional excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V30.9,Unspecified revisional excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V31,Primary excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V31.1,Primary anterolateral excision of thoracic intervertebral disc and graft HFQ
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V31.2,Primary anterolateral excision of thoracic intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V31.3,Primary costotransversectomy of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V31.4,Primary percutaneous endoscopic excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V31.8,Other specified primary excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V31.9,Unspecified primary excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V32,Revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V32.1,Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V32.2,Revisional anterolateral excision of thoracic intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V32.3,Revisional costotransversectomy of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V32.4,Revisional percutaneous endoscopic excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V32.8,Other specified revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V32.9,Unspecified revisional excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33,Primary excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.1,Primary laminectomy excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.2,Primary fenestration excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.3,Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.4,Primary anterior excision of lumbar intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.5,Primary anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.6,Primary anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.7,Primary microdiscectomy of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.8,Other specified primary excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V33.9,Unspecified primary excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34,Revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.1,Revisional laminectomy excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.2,Revisional fenestration excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.3,Revisional anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.4,Revisional anterior excision of lumbar intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.5,Revisional anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.6,Revisional anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.7,Revisional microdiscectomy of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.8,Other specified revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V34.9,Unspecified revisional excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V35,Excision of unspecified intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V35.1,Primary excision of intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V35.2,Revisional excision of intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V35.8,Other specified excision of unspecified intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V35.9,Unspecified excision of unspecified intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V36,Prosthetic replacement of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V36.1,Prosthetic replacement of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V36.2,Prosthetic replacement of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V36.3,Prosthetic replacement of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V36.8,Other specified prosthetic replacement of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V36.9,Unspecified prosthetic replacement of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V51,Other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V51.1,Primary direct lateral excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V51.8,Other specified other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V51.9,Unspecified other primary excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V52,Other operations on intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V52.1,Enzyme destruction of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V52.2,Destruction of intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V52.3,Discography of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V52.4,Biopsy of lesion of intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V52.5,Aspiration of intervertebral disc NEC
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V52.8,Other specified other operations on intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V52.9,Unspecified other operations on intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V58,Primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V58.1,Primary automated percutaneous mechanical excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V58.2,Primary automated percutaneous mechanical excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V58.3,Primary automated percutaneous mechanical excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V58.8,Other specified primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V58.9,Unspecified primary automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V59,Revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V59.1,Revisional automated percutaneous mechanical excision of cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V59.2,Revisional automated percutaneous mechanical excision of thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V59.3,Revisional automated percutaneous mechanical excision of lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V59.8,Other specified revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V59.9,Unspecified revisional automated percutaneous mechanical excision of intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V60,Primary percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V60.1,Primary percutaneous decompression using coblation to cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V60.2,Primary percutaneous decompression using coblation to thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V60.3,Primary percutaneous decompression using coblation to lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V60.8,Other specified primary percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V60.9,Unspecified primary percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V61,Revisional percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V61.1,Revisional percutaneous decompression using coblation to cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V61.2,Revisional percutaneous decompression using coblation to thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V61.3,Revisional percutaneous decompression using coblation to lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V61.8,Other specified revisional percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V61.9,Unspecified revisional percutaneous decompression using coblation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V62,Primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V62.1,Primary percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V62.2,Primary percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V62.3,Primary percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V62.8,Other specified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V62.9,Unspecified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V63,Revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V63.1,Revisional percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V63.2,Revisional percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V63.3,Revisional percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V63.8,Other specified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intervertebral disc disorders,NA,NA,Procedure for Intervertebral disc disorders,V63.9,Unspecified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
Intracerebral haemorrhage,I61,Intracerebral haemorrhage,Diagnosis of Intracerebral haemorrhage,NA,NA
Intracerebral haemorrhage,I69.1,Sequelae of intracerebral haemorrhage,History of intracerebral haemorrhage,NA,NA
Intracranial hypertension,G93.2,Benign intracranial hypertension,Diagnosis of Idiopathic intracranial hypertension,NA,NA
Iron deficiency anaemia,D50,Iron deficiency anaemia,Diagnosis of Iron deficiency anaemia,NA,NA
Irritable bowel syndrome,K58,Irritable bowel syndrome,Diagnosis of Irritable bowel syndrome,NA,NA
Ischaemic stroke,I63.0,Cerebral infarction due to thrombosis of precerebral arteries,Diagnosis of Ischaemic stroke,NA,NA
Ischaemic stroke,I63.1,Cerebral infarction due to embolism of precerebral arteries,Diagnosis of Ischaemic stroke,NA,NA
Ischaemic stroke,I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Diagnosis of Ischaemic stroke,NA,NA
Ischaemic stroke,I63.3,Cerebral infarction due to thrombosis of cerebral arteries,Diagnosis of Ischaemic stroke,NA,NA
Ischaemic stroke,I63.4,Cerebral infarction due to embolism of cerebral arteries,Diagnosis of Ischaemic stroke,NA,NA
Ischaemic stroke,I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,Diagnosis of Ischaemic stroke,NA,NA
Ischaemic stroke,I63.8,Other cerebral infarction,Diagnosis of Ischaemic stroke,NA,NA
Ischaemic stroke,I63.9,"Cerebral infarction, unspecified",Diagnosis of Ischaemic stroke,NA,NA
Ischaemic stroke,I69.3,Sequelae of cerebral infarction,History of cerebral infarction,NA,NA
Juvenile arthritis,M08,Juvenile arthritis,Diagnosis of Juvenile arthritis,NA,NA
Juvenile arthritis,M09,Juvenile arthritis in diseases classified elsewhere,Diagnosis of Juvenile arthritis,NA,NA
Left bundle branch block,I44.7,"Left bundle-branch block, unspecified",Diagnosis of Left bundle branch block,NA,NA
Leukaemia,C91,Lymphoid leukaemia,Diagnosis of Leukaemia,NA,NA
Leukaemia,C92,Myeloid leukaemia,Diagnosis of Leukaemia,NA,NA
Leukaemia,C93,Monocytic leukaemia,Diagnosis of Leukaemia,NA,NA
Leukaemia,C94,Other leukaemias of specified cell type,Diagnosis of Leukaemia,NA,NA
Leukaemia,C95,Leukaemia of unspecified cell type,Diagnosis of Leukaemia,NA,NA
Lichen planus,L43,Lichen planus,Diagnosis of Lichen planus,NA,NA
Lichen planus,L66.1,Lichen planopilaris,Diagnosis of Lichen planus,NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K70.1,Alcoholic hepatitis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K70.2,Alcoholic fibrosis and sclerosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K70.3,Alcoholic cirrhosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K71.7,Toxic liver disease with fibrosis and cirrhosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.0,Hepatic fibrosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.1,Hepatic sclerosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.2,Hepatic fibrosis with hepatic sclerosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.4,Secondary biliary cirrhosis,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.5,"Biliary cirrhosis, unspecified","Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.6,Other and unspecified cirrhosis of liver,"Diagnosis of Liver fibrosis, sclerosis and cirrhosis",NA,NA
Lupus erythematosus (local and systemic),L93,Lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic),NA,NA
Lupus erythematosus (local and systemic),M32,Systemic lupus erythematosus,Diagnosis of Lupus erythematosus (local and systemic),NA,NA
Macular degeneration,H35.3,Degeneration of macula and posterior pole,Diagnosis of Macular degeneration,NA,NA
Male infertility,N46,Male infertility,Diagnosis of Male Infertility,NA,NA
Meniere disease,H81.0,Meniere's disease,Diagnosis of Meniere disease,NA,NA
Menorrhagia and polymenorrhoea,N92.0,Excessive and frequent menstruation with regular cycle,Diagnosis of Menorrhagia and polymenorrhoea,NA,NA
Menorrhagia and polymenorrhoea,N92.1,Excessive and frequent menstruation with irregular cycle,Diagnosis of Menorrhagia and polymenorrhoea,NA,NA
Menorrhagia and polymenorrhoea,N92.2,Excessive menstruation at puberty,Diagnosis of Menorrhagia and polymenorrhoea,NA,NA
Menorrhagia and polymenorrhoea,N92.4,Excessive bleeding in the premenopausal period,Diagnosis of Menorrhagia and polymenorrhoea,NA,NA
Migraine,G43,Migraine,Diagnosis of Migraine,NA,NA
Motor neuron disease,G12.2,Motor neuron disease,Diagnosis of Motor neuron disease,NA,NA
Multiple myeloma and malignant plasma cell neoplasms,C88.0,Waldenström macroglobulinaemia,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms,NA,NA
Multiple myeloma and malignant plasma cell neoplasms,C88.2,Other heavy chain disease,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms,NA,NA
Multiple myeloma and malignant plasma cell neoplasms,C90,Multiple myeloma and malignant plasma cell neoplasms,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms,NA,NA
Multiple sclerosis,G35,Multiple sclerosis,Diagnosis of Multiple sclerosis,NA,NA
Multiple valve dz,I08,Multiple valve diseases,Diagnosis of Multiple valve dz,NA,NA
Myasthenia gravis,G70.0,Myasthenia gravis,Diagnosis of Myasthenia gravis,NA,NA
Myelodysplastic syndromes,D46,Myelodysplastic syndromes,Diagnosis of Myelodysplastic syndromes,NA,NA
Myocardial infarction,I252,Old myocardial infarction,History of MI (1),NA,NA
Myocardial infarction,I21,Acute myocardial infarction,Acute MI not further specified (5),NA,NA
Myocardial infarction,I22,Subsequent myocardial infarction,Subsequent MI (6),NA,NA
Myocardial infarction,I23,Certain current complications following acute myocardial infarction,Complications of MI (7),NA,NA
Myocardial infarction,I241,Dressler's syndrome,Complications of MI (7),NA,NA
Nasal polyp,J33,Nasal polyp,Diagnosis of Nasal polyp,NA,NA
Neuromuscular dysfunction of bladder,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",Diagnosis of Neuromuscular dysfunction of bladder,NA,NA
Non-acute cystitis,N30.1,Interstitial cystitis (chronic),Diagnosis of Non-acute cystitis,NA,NA
Non-acute cystitis,N30.2,Other chronic cystitis,Diagnosis of Non-acute cystitis,NA,NA
Non-Hodgkin Lymphoma,C82,Follicular lymphoma,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
Non-Hodgkin Lymphoma,C83,Non-follicular lymphoma,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
Non-Hodgkin Lymphoma,C84,Mature T/NK-cell lymphomas,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
Non-Hodgkin Lymphoma,C85,Other and unspecified types of non-Hodgkin lymphoma,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
Non-Hodgkin Lymphoma,C86,Other specified types of T/NK-cell lymphoma,Diagnosis of Non-Hodgkin Lymphoma,NA,NA
Nonrheumatic aortic valve disorders,I35,Nonrheumatic aortic valve disorders,Diagnosis of Nonrheumatic aortic valve disorders,NA,NA
Nonrheumatic mitral valve disorders,I34,Nonrheumatic mitral valve disorders,Diagnosis of Nonrheumatic mitral valve disorders,NA,NA
Obesity,E66,Obesity,Diagnosis of Obesity,NA,NA
Obsessive-compulsive disorder,F42,Obsessive-compulsive disorder,Diagnosis of Obsessive-compulsive disorder,NA,NA
Obstructive and reflux uropathy,N13.0,Hydronephrosis with ureteropelvic junction obstruction,Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.1,"Hydronephrosis with ureteral stricture, not elsewhere classified",Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.2,Hydronephrosis with renal and ureteral calculous obstruction,Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.3,Other and unspecified hydronephrosis,Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.4,Hydroureter,Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.5,Kinking and stricture of ureter without hydronephrosis,Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.6,Pyonephrosis,Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.7,Vesicoureteral-reflux-associated uropathy,Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.8,Other obstructive and reflux uropathy,Diagnosis of Obstructive and reflux uropathy,NA,NA
Obstructive and reflux uropathy,N13.9,"Obstructive and reflux uropathy, unspecified",Diagnosis of Obstructive and reflux uropathy,NA,NA
Oesophageal varices,I85,Oesophageal varices,Diagnosis of Oesophageal varices,NA,NA
Oesophageal varices,I98.2,Oesophageal varices without bleeding in diseases classified elsewhere,Diagnosis of Oesophageal varices,NA,NA
Oesophageal varices,I98.3,Oesophageal varices with bleeding in diseases classified elsewhere,Diagnosis of Oesophageal varices,NA,NA
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G10,Open operations on varices of oesophagus
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G10.1,Disconnection of azygos vein
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G10.2,Transection of oesophagus using staple gun
Oesophageal varices,NA,NA,Procedure for Oesophageal varices,G10.3,Transection of oesophagus NEC
